word,event,register,period,sentence,timestamp
token,nft,formal,before,"I said the players are difficult to motivate but by the same token there are players who are sensible, who will listen and won’t take it the wrong way.",2019-01-20T22:30:00Z
token,nft,formal,before,"By the same token, Bitcoin has been around long enough that it probably isn’t going away.",2020-12-17T19:38:25Z
token,nft,formal,before,"You have to try and influence their mentality and it could take quite a long time, or, by the same token, it could be changed with a new player coming in or one of the old heads in the team assuming more responsibility and driving the rest of the team forward.” Asked if he remains the right man to oversee Chelsea’s progression, he added: “Yes, absolutely.",2019-01-19T21:19:53Z
token,nft,formal,before,"As a token show of good faith and transparency, they should make a giant Amazon Alexa that reads out your internet search history to a crowd of tourists.",2019-03-13T15:19:46Z
token,nft,formal,before,"Per Mertesacker, head of Arsenal’s academy, is keen to point out it is not a token gesture.",2019-03-25T10:00:06Z
token,nft,formal,before,"By a similar token, sales of manuals for certain Toyota and Mazda models were very low, indicating that the reputation for Japanese durability was no myth.",2019-02-21T12:33:28Z
token,nft,formal,before,I hadn’t come across that before; I had always just been cast as the token trans model.,2019-02-18T09:00:08Z
token,nft,formal,before,"This gives quotas an undeserved bad name, even among women, who worry that their achievements could be dismissed as token.",2019-03-16T17:00:04Z
token,nft,formal,before,What token assurances Brussels might add will not satisfy Tory hardliners.,2018-12-12T21:59:35Z
token,nft,formal,before,"We were all shocked at the weight she had lost, but she made no mention of it – this was a show, in her eyes, nine or 10 songs, and not a token performance.",2018-12-16T08:00:40Z
token,nft,formal,before,"The Hong Kong government is charging the mainland a token HK$1,000 (£99) a year in rent.",2018-09-04T09:16:46Z
token,nft,formal,before,"He wasn’t a token player, being given a position because of our country’s history.",2019-05-23T21:00:13Z
token,nft,formal,before,"The calculations of the potential fines under GDPR are a bit mind-boggling.” Because the vulnerability has existed since July 2017, Facebook has not ruled out the possibility that smaller attacks on its token system went undetected before September.",2018-10-12T20:14:18Z
