word,event,period,sentence,timestamp
chat,e-gaming-recent,after,"Guys, just stop this blokey, pub-style chat and wake up to your female readership, for pity’s sake!",2026-01-18T17:37:02Z
chat,e-gaming-recent,after,Labour’s campaign for a vital byelection has been dealt a fresh blow after six local councillors were found to have breached standards rules in a “vile” WhatsApp chat.,2026-01-27T13:34:44Z
chat,e-gaming-recent,after,"A widely awaited Department of Defense report concluded that the defense secretary, Pete Hegseth, violated departmental policies when he shared secret information in a Signal messaging chat in March that included details of a planned airstrike in Yemen against Houthi fighters, said a source familiar with the report.",2025-12-04T01:00:53Z
chat,e-gaming-recent,after,The Signal chat was disclosed after a reporter for the Atlantic was added as a member.,2025-12-04T01:00:53Z
chat,e-gaming-recent,after,"The source said Hegseth refused to be interviewed by the inspector general, and instead provided a brief written statement in which he said he only shared information in the chat that would not have risked lives or endangered the mission, that he had the right to declassify material and that he considered the inspector general to be partisan.",2025-12-04T01:00:53Z
chat,e-gaming-recent,after,"By sharing classified operational details on an unsecure group chat on his personal phone, he created unacceptable risks to their safety and to our operational security.",2025-12-04T01:00:53Z
chat,e-gaming-recent,after,"A Vermont state lawmaker has resigned over racist and antisemitic chat messages that circulated within the Young Republican political group, another substantial consequence in a scandal that on Friday saw the New York state Young Republicans’ charter revoked.",2025-10-18T17:59:36Z
chat,e-gaming-recent,after,"State senator Samuel Douglass, the only elected official known to have taken part in the leaked group chat exposed by Politico, resigned Friday over his participation.",2025-10-18T17:59:36Z
chat,e-gaming-recent,after,"His wife, Brianna Douglass, also on the chat, responded with an antisemitic remark, Politico reported.",2025-10-18T17:59:36Z
chat,e-gaming-recent,after,"Other messages in the chat reflected factional infighting in the Young Republicans that included calling Minnesotan members a slur for gay men and other LGBTQ+ people, Nebraskans “inbred cow fuckers” and members from Rhode Island “traitorous cunts”.",2025-10-18T17:59:36Z
chat,e-gaming-recent,after,"On Tuesday, after Politico reported on the Telegram chat, governor Scott said, “there is simply no excuse” for “the vile, racist, bigoted, and antisemitic dialogue”.",2025-10-18T17:59:36Z
chat,e-gaming-recent,after,"The FBI spied on a private Signal group chat of immigrants’ rights activists who were organizing “courtwatch” efforts in New York City this spring, law enforcement records shared with the Guardian indicate.",2025-11-21T16:35:14Z
chat,e-gaming-recent,after,"A “joint situational information report” from the FBI and the New York police department (NYPD), dated 28 August 2025, quoted from a chat on Signal, the encrypted messaging app, and also characterized the court watchers as “anarchist violent extremist actors”.",2025-11-21T16:35:14Z
chat,e-gaming-recent,after,"The Signal platform, widely used by activists, is known for its end-to-end encryption; typically, the only way law enforcement can access messages is if they are directly included in the chat, are sent copies from a participant or have access to a member’s unlocked phone.",2025-11-21T16:35:14Z
chat,e-gaming-recent,after,"Discussions in the chat included “instructions on where to go and what to say in order to gain access to federal courtrooms”, with the FBI noting that members of the group were told which floors to visit and to tell officials they were there to observe, with statements like: “I’m due at a 9:30 hearing.” The FBI added: “‘Courtwatch’ is a private/invite only, encrypted Signal application group chat created by the identified [individual].",2025-11-21T16:35:14Z
chat,e-gaming-recent,after,A Northern Ireland football club has removed a coach who posted an apparent menu of cocaine prices in a group chat for a youth league.,2025-11-27T13:26:06Z
