word,event,period,sentence,timestamp
catfish,catfish-show,after,"Wragg claimed he felt threatened and under pressure to share the phone numbers and personal information of his Westminster colleagues with the mystery account, fearing that the catfish would leak his intimate images in retaliation if he did not comply.",2024-11-16T10:18:38Z
catfish,catfish-show,after,"After Wragg, 36, handed over the personal information, the catfish told him to vouch for their identity with their next potential victims, with the catfish telling their fresh targets they were a former researcher for Wragg.",2024-11-16T10:18:38Z
catfish,catfish-show,after,"Over nearly a decade, that friendship deepened into a virtual romance, an engagement and eventually an all-consuming web of unfulfilled promises that ate up the bulk of Kirat’s 30s – all part of an elaborate catfishing scheme relived and re-enacted in the Netflix documentary Sweet Bobby: My Catfish Nightmare.",2024-10-16T07:01:13Z
catfish,catfish-show,after,Sweet Bobby: My Catfish Nightmare is now available on Netflix,2024-10-16T07:01:13Z
catfish,catfish-show,after,"He was clearly a crafty catfish, an online con artist who takes someone else’s images and pretends to be them to deceive others.",2024-11-30T11:00:24Z
catfish,catfish-show,after,I decided to give him the same treatment; I would make a fake account and try to catfish my own impostor.,2024-11-30T11:00:24Z
catfish,catfish-show,after,How easily they had just let a catfish into their lives.,2024-11-30T11:00:24Z
catfish,catfish-show,after,“This account can’t receive your message because they don’t allow new message requests from everyone.” I had stooped to the level of a catfish for nothing.,2024-11-30T11:00:24Z
catfish,catfish-show,after,"“Can I still have your account for a while as you?” He claimed he was using the catfish account for “good” and acting as a “psychologist” for the people he had tricked, because he talked them through their problems.",2024-11-30T11:00:24Z
catfish,catfish-show,after,"Some fish, like the Mekong giant catfish, have been studied for over a longer period and show a decline in weight of 55% in the past 25 years, dropping from an average of 180kg (397lb) to 80kg.",2025-08-11T17:00:09Z
catfish,catfish-show,after,"One of the study team, the biologist Ngor Peng Bun, helped catch a gigantic catfish in 2000 that weighed 270kg, before tagging and releasing it.",2025-08-11T17:00:09Z
catfish,catfish-show,after,"A 300kg catfish can produce 10 to 20 times more offspring than a 50kg fish, for example.",2025-08-11T17:00:09Z
catfish,catfish-show,after,"In Russ’s case, that means making an unlikely alliance with the South Georgia University Catfish mascot, Whiskers, who – under his big sea creature costume – is actually Danny (Frankie A Rodriguez), a theatre kid with some much-needed makeup skills.",2025-09-27T06:00:33Z
catfish,catfish-show,after,"Rounding out the starting lineup are Steve Zahn as perma-frazzled Catfish (see what they did there) coach Jake Hudson, with Perry Mattfeld as his daughter and colleague, Ricky, who is desperately trying to fight off nepo baby accusations to forge her own career.",2025-09-27T06:00:33Z
catfish,catfish-show,after,I didn’t realise you could make a career out of catching catfish.,2025-02-19T17:16:25Z
catfish,catfish-show,after,Pick of the week Sweet Bobby: My Catfish Nightmare The hit podcast – about a woman subjected to an extraordinary 10-year catfishing campaign – has been turned into a compelling documentary by Lyttanya Shannon.,2024-10-18T08:00:17Z
catfish,catfish-show,after,"– Not A Catfish Back when I was on the apps, I’d upload slightly unflattering photos of myself: an up-close, no-makeup selfie; a wide shot in a muumuu the size of a small circus tent.",2025-05-28T16:00:02Z
catfish,catfish-show,after,I call this the Inverse Catfish Method.,2025-05-28T16:00:02Z
catfish,catfish-show,after,"After reading your question, Not A Catfish, I’d say we have this in common.",2025-05-28T16:00:02Z
catfish,catfish-show,after,Give the Inverse Catfish Method a go.,2025-05-28T16:00:02Z
catfish,catfish-show,after,"There are a plenty of songs from her 2024 breakthrough Alligator Bites Never Heal – the acidic Nissan Altima, the playful storytime-rhythm of Denial is a River, the swaggering Catfish – as well as a euphoric rendition of Alter Ego, perfect for an arena in summertime.",2025-12-05T23:00:37Z
catfish,catfish-show,after,"Similarly, the college team he signs up for under a fake identity is called the Catfish.",2025-09-30T04:00:48Z
catfish,catfish-show,after,"His name is mud but when he learns that a struggling team (the tellingly named South Georgia Catfish) are hosting tryouts for new players, he changes identity and relaunches himself as Chad Powers.",2025-09-26T06:00:01Z
