word,event,register,period,sentence,timestamp
spoiler,streaming,formal,before,"Well, it now seems that the ever-increasing demand for more information from fans – and the ever-expanding determination of marketing teams to give it to them – may just have given birth to a Prometheus spoiler of epic proportions.",2012-05-03T14:22:00Z
spoiler,streaming,formal,before,"I HAD TO DISCOVER THIS POTENTIAL SPOILER FOR PROFESSIONAL REASONS, AND I WOULD NOW DO JUST ABOUT ANYTHING TO ""UN-DISCOVER"" IT.",2012-05-03T14:22:00Z
spoiler,streaming,formal,before,"Spoiler alert!) about how much he liked the Hunger Games books, and unfortunately happened to go into details of the trilogy's later plot development: cue widespread wailing and gnashing of teeth.",2012-05-28T13:11:07Z
spoiler,streaming,formal,before,"Haven't you heard of a spoiler alert?!"" wrote one poster.",2012-05-28T13:11:07Z
spoiler,streaming,formal,before,"If suspense is taken away by certainty, certainty offers other compensations, and those compensations, rather than being undermined by a spoiler, require one."" Far from calming people down, though, he's actually fanned the flames – particularly with his dismissal of ""works which deliver to the reader or viewer suspense and only suspense"", which he says lose their pull ""when the cat has been let out of the bag and there may not be much point to re-experiencing them"".",2012-05-28T13:11:07Z
spoiler,streaming,formal,before,"How will it end?'"" I've said before that I'm a sucker for spoilers, always giving myself a quick glimpse of the end of books, googling what's going to happen next in my favourite television shows and loving Game of Thrones on television in large part because I've read the books and know what's about to happen (spoiler alert: nothing good).",2012-05-28T13:11:07Z
spoiler,streaming,formal,before,"Oh, and Joan wears some outfits that make her bosoms look like torpedoes."" Weiner's vehemence about the audience approaching the two-hour season premiere with a tabula rasa stems from a review the New York Times ran for season four which revealed that Don and his wife Betty were no longer married (spoiler alert!).",2012-03-22T16:40:00Z
spoiler,streaming,formal,before,"They believe the risk of a ""spoiler"" incident will rise if a new diplomatic push aimed at reaching a peaceful settlement of the Iranian nuclear crisis appears to show progress.",2012-11-09T18:10:25Z
spoiler,streaming,formal,before,"""There are people in Tehran who desperately wanted Romney to win [the US election]."" The official said that if the new diplomatic push for a negotiated settlement of the impasse over Iran's nuclear programme, – due to begin at the end of this month with a new round of talks involving six world powers and Tehran – shows signs of progress, the risk of a ""spoiler"" incident, aimed at torpedoing that effort, would increase.",2012-11-09T18:10:25Z
spoiler,streaming,formal,before,"When (SPOILER ALERT) Sean Connery turns up as Richard the Lionheart at the end of Robin Hood: Prince of Thieves, or when (SPOILER ALERT) David Bowie shows up in Zoolander, the unexpectedness of seeing such well-known faces in such fleeting roles is more-or-less the main point.",2012-07-20T14:43:36Z
