word,event,register,period,sentence,timestamp
variant,covid-19,formal,before,"This genetic variant, CYP3A7*1C, was found in 5% of the women.",2019-03-12T21:15:07Z
variant,covid-19,formal,before,"While the team say the link is not robust, they found 28% of women with this genetic variant had levels of etonogestrel below the threshold that the producers of the implant say are needed to prevent the release of an egg from a woman’s ovaries.",2019-03-12T21:15:07Z
variant,covid-19,formal,before,"By contrast, among women without this genetic variant, only 9% had etonogestrel levels below that threshold.",2019-03-12T21:15:07Z
variant,covid-19,formal,before,The team said it was too soon to suggest women are screened for the genetic variant.,2019-03-12T21:15:07Z
variant,covid-19,formal,before,"Nonetheless, she said the proposed influence of the gene variant on etonogestrel levels was plausibleand consistent with previous research on its effects on female sex hormones found naturally in the body.",2019-03-12T21:15:07Z
variant,covid-19,formal,before,"With so much potential for failed meet-ups and missed appointments, one would have expected one variant to trump the other over time.",2019-12-11T19:01:45Z
variant,covid-19,formal,before,"The local Saxon variant for pancake, Plinse, meanwhile, has been pushed back to its Sorbian origins as east Germans rally around the egg cake as a “marker of east German regional identity”, as the researchers put it.",2019-12-11T19:01:45Z
variant,covid-19,formal,before,"Shuttling around a multiverse of variant dimensions, The Heavens overrides Ben’s anguished bewilderment with a validation of Kate’s perception of reality.",2019-05-27T08:00:36Z
variant,covid-19,formal,before,“We could eventually find thousands of boxes as other withdrawals are under way and the company has also undertaken to withdraw the product.” Pringles said in a statement: “The prosecco and pink peppercorn variant was produced in 2018 as a limited edition for the Christmas holiday period.,2019-10-16T13:44:24Z
variant,covid-19,formal,before,We have no plans to produce this variant in the future.”,2019-10-16T13:44:24Z
variant,covid-19,formal,before,"Named after the 20th-century American poet Ezra Pound, who was known for his fascist sympathies and antisemitism, it claims to support a democratic variant of fascism but has been accused of encouraging violence and racism.",2019-12-12T14:19:37Z
variant,covid-19,formal,before,This is the deal with Arthur (the name of the show and of Bye’s co-star) which has the added variant of being staged in your living room; performances are by request via the number in the fringe programme.,2019-08-08T05:00:23Z
variant,covid-19,formal,before,"Bye’s theme is nature versus nurture and the way the exact same set of genes can produce very different-looking plants, animals and human beings, according to the tiniest environmental variant.",2019-08-08T05:00:23Z
variant,covid-19,formal,before,"It was the government’s decision in 2010 to change to the carrier variant, with catapults and arrester gear.",2019-12-27T17:10:39Z
variant,covid-19,formal,before,"But writing in the journal eLife, the scientists describe how humans not only retain the gene but carry different forms of it, with the mutant variant becoming popular only after cooking and farming became widespread.",2019-06-04T07:00:25Z
variant,covid-19,formal,before,"“We know from tests on cells that the newer variant leads to more sugar clearance than the older one,” said Brodsky.",2019-06-04T07:00:25Z
variant,covid-19,formal,before,“There’s a measurable effect.” Brodsky said knowing which gene variant people carry could help them understand their risk of type 2 diabetes.,2019-06-04T07:00:25Z
variant,covid-19,formal,before,"So much so we have replicated it for him in scaled-down, 3ft form, since he was a little too eager to use the full-size variant to topple things off cupboards and plonk himself on the noggin.",2019-12-15T09:30:48Z
variant,covid-19,formal,before,"Fans uninterested in his religious rebirth will find little to love here (most of the Sunday Service Choir’s vocals are a variant on this bar from More Than Anything: “I love you, Jesus / I worship and adore you / Just want to tell you / Lord, I love you more than anything.”) but the album certainly fulfils its prayerful remit.",2019-12-27T12:56:48Z
variant,covid-19,formal,before,"Some remember Werner Kissling, an ethnographic photographer who worked for the project in the 1960s and captured Wensleydale kids playing “wallops” – a variant of skittles – in the road.",2019-11-09T06:00:54Z
variant,covid-19,formal,before,"Named after the 20th-century American poet Ezra Pound, who was known for his fascist sympathies and antisemitism, it claims to support a democratic variant of fascism but it is accused of encouraging violence and racism.",2019-09-09T17:07:25Z
variant,covid-19,formal,before,"The best variant of hoodie has a double-sided front pocket to keep one’s hands warm, similar – sort of – to the muffs popular in the 18th, 19th and early 20th centuries.",2019-10-25T06:00:24Z
variant,covid-19,formal,before,"However, this variant has already had success, with Plaid and the Greens not standing candidates in August’s Brecon and Radnorshire byelection, allowing the Liberal Democrats a clearer run, helping them take the seat from the Conservatives.",2019-10-30T06:17:09Z
variant,covid-19,formal,before,"Bodega de Bardos Romantica Crianza, Ribera del Duero, Spain 2016 (from £13.50, nickollsandperks.co.uk; cambridgewine.com; henningswine.co.uk; woodwinters.com) What makes comparisons between Ribera del Duero and Rioja irresistible is that both regions are dominated by the same grape variety: tempranillo, (or tinto fino or tinta del país as the Ribera del Duero variant is known).",2019-11-17T06:00:10Z
variant,covid-19,formal,before,"Hannah Verdier The X Factor: Celebrity 8.10pm, ITV Last week saw soap stars Victoria Ekanoye and Jonny Labey both get ejected from the faintly desperate celeb variant of the venerable primetime sing-off.",2019-11-09T06:01:06Z
variant,covid-19,formal,before,She told De Morgen newspaper: “The gesture in question is probably the oldest variant of that gesture in the dictionary.,2019-09-18T10:28:05Z
variant,covid-19,formal,before,"The new £99 Kindle Kids Edition is a special variant of Amazon’s latest, cheapest frontlit 6in Kindle with software designed to encourage reading through gamification and word building.",2019-10-07T13:00:50Z
variant,covid-19,formal,before,"One recent column introduced readers to Sandwich Sudoku, a really fun new sudoku variant.",2019-08-26T06:10:30Z
variant,covid-19,formal,before,"It was spice – or more specifically, a variant of it called MDMB-CHMICA – that killed Catherine Kenny, a homeless 32-year-old woman, in Belfast in 2016.",2019-10-29T06:00:15Z
variant,covid-19,formal,before,"Every time the UK tried to crack down on it, a new variant – usually more potent, often more toxic, and always more obscure – has been developed to take its place.",2019-10-29T06:00:15Z
variant,covid-19,formal,before,It’s a new variant of Sudoku that is getting lots of attention.,2019-05-06T16:00:13Z
variant,covid-19,formal,before,"The release is likely to deepen the sense of crisis enveloping Boeing, which has taken more than $8bn in costs and lost more than 20% of its market value since the 737 variant was grounded in March following two crashes.",2019-12-24T16:29:08Z
variant,covid-19,formal,before,"The new variant, certified by the Vegan Society, will be available in three flavours: smooth orange, caramel and sea salt and caramelised hazelnut.",2019-11-13T06:01:02Z
variant,covid-19,formal,before,"The “literary” version begins: “My daughter is standing behind the bar, polishing a wine glass against a white cloth.” The science-fiction variant begins: “My robot is standing behind the bar, polishing a wine glass against a white cloth.” In what Gavaler and Johnson call “a significant departure” from their previous study, readers of both texts scored the same in comprehension, “both accumulatively and when divided into the comprehension subcategories of mind, world, and plot”.",2019-10-01T06:00:40Z
variant,covid-19,formal,before,"The anti-toll protest is seen by some as a Nordic variant on the gilets jaunes movement in France, representing a backlash against the imposition of extra costs on drivers in the name of environmental protection.",2019-09-08T11:47:27Z
variant,covid-19,formal,before,"If you were of an age in 1996 to understand the news, the thought has probably passed through your mind at least a few times since then; whatever happened to that new variant CJD we were all supposed to die of after those bovines went spongiform?",2019-07-11T21:00:07Z
variant,covid-19,formal,before,Stephen Churchill died at 19 of a human form of BSE – variant Creutzfeldt–Jakob disease.,2019-07-11T21:00:07Z
variant,covid-19,formal,before,"Ruby chocolate – a fourth chocolate variant after traditional dark, milk and white – attracted huge interest from chocolate connoisseurs throughout the world since it was first revealed in September 2017.",2019-09-29T23:01:51Z
variant,covid-19,formal,before,"For New Zealand it will all come down to something new: a little-played variant of the game at a little-used ground, a day-night match at the new Perth stadium, in a city whose Tests have hitherto only been held under the baking Westralian sun.",2019-12-05T00:03:53Z
variant,covid-19,formal,before,"And they were trying to put this guy forward.” On Saturday, using variant spellings of the Bin Laden name, that of the target’s father and the group he led, a statement issued by the White House press secretary read: “Hamza bin Ladin, the high-ranking al-Qa’ida member and son of Usama bin Ladin, was killed in a United States counterterrorism operation in the Afghanistan/Pakistan region.” Bin Laden’s death, the statement said, “deprives al-Qa’ida of important leadership skills and the symbolic connection to his father” and “undermines important operational activities of the group”.",2019-09-14T20:23:07Z
variant,covid-19,formal,before,"The Ryanair chief executive, Michael O’Leary, said: “Ryanair remains committed to the 737 Max aircraft, and now expects that it will return to flying service before the end of 2019.” The airline has ordered a larger, 197-seat version called Max 200, a variant that it expects to be separately certified as safe a month or two after the 737 Max 8 fleet returns to the sky.",2019-07-16T17:14:40Z
variant,covid-19,formal,before,That analysis could then be combined with two other major Alzheimer’s risk factors – age and the presence of the genetic variant APOE4 – to accurately identify the relevant changes in the brain.,2019-08-02T08:18:23Z
variant,covid-19,formal,before,It’s a variant of the exchange between a famous person and a fan.,2019-11-28T17:00:43Z
variant,covid-19,formal,before,"A self-administered variant of traditional acupuncture, it takes place entirely in one’s lugs, a microcosm for the whole body.",2019-10-08T06:00:24Z
variant,covid-19,formal,before,"There are more than 50 variants of Mixteco, according to the Endangered Language Alliance, and speakers of one variant cannot always understand speakers of another.",2019-06-18T06:00:49Z
