target_word,when,type,date,sentence
bubble,before,formal,2019-12-30T07:40:23Z,"The capital is a bubble into which she has escaped from her deprived childhood and within which she thinks herself protected, despite its periodic punctures by her mother’s phone calls and constant requests for cash."
bubble,before,formal,2019-12-30T07:40:23Z,"The man who brings her into the bubble within the bubble, upper-class London, and introduces her to all the right people who are so very wrong for her, is society osteopath Stephen Ward (James Norton, perhaps too earthy a casting choice for the part, though his creepily patronising delivery of “little baby”, his nickname for Keeler, is worth the price of admission)."
bubble,before,formal,2019-12-29T10:00:35Z,"2 Leave the hot milk to cool As soon as the milk begins to bubble, turn off the heat and leave it to cool down to blood temperature."
bubble,before,formal,2019-12-29T10:00:00Z,"16 min: This is starting to bubble a little, as Rostyn Griffiths is penalised for a foul on Milos Ninkovic."
bubble,before,formal,2019-12-28T15:44:27Z,"We thought he was a Gold Cup horse and obviously our bubble burst at Down Royal, but we’re not gone yet.” Delta Work was cut to a top price of 10-1 for the Gold Cup after the win, while last year’s Savills Chase winner, Kemboy, is unchanged at 6-1 after finishing fourth on his return to action after 241 days on the sidelines, within four lengths of the winner."
bubble,before,formal,2019-12-28T11:30:07Z,"Prep 20 min Cook 20 min Serves 12 For the toffee sauce 150ml double cream 40g unsalted butter 50g light muscovado sugar ¼ tsp fine sea salt For the brittle 230g caster sugar 20g unsalted butter 150g mixed nuts, roughly chopped For the trifle 600g extra-thick double cream 100ml Baileys 400g chocolate digestives, broken 5 large bananas, peeled and sliced 2 x 500g ready-made vanilla custard To finish 75g dark chocolate, grated Melt the cream, butter and sugar in a medium-sized saucepan, then leave it to bubble and turn a toffee sauce-like colour."
bubble,before,formal,2019-12-28T06:00:01Z,"On 29 December 1989, Japan’s Nikkei stock market index hit a high of 38,916, a milestone that proved to be the last hurrah of the country’s asset-inflated bubble economy – a period of ostentatious consumption and overconfidence in the infallibility of Japan, Inc."
bubble,before,formal,2019-12-28T06:00:01Z,"When the bubble party ended, its hosts appeared to have no idea how to clean up the mess left by absurdly high share and property prices."
bubble,before,formal,2019-12-28T06:00:01Z,"“Japan’s 1980s bubble was the bursting start of a long adaption from a young, fast-growing economy to an ageing, slow-growth new normal,” says Martin Schulz, senior economist at the Fujitsu Research Institute."
bubble,before,formal,2019-12-28T06:00:01Z,"What’s missing are better work-life balances to enable families to have children again, and a more proactive stance to deal with the long-term debt overhang.” The end of the bubble era coincided with the enthronement of a new emperor."
bubble,before,formal,2019-12-28T06:00:01Z,"While Akihito sought to bring the imperial family closer to ordinary people, much of his three decades on the Chrysanthemum throne, which ended with his abdication this April, was marked by policy drift and a creeping fear that Japan’s post-bubble woes were merely the precursor to long-term decline."
bubble,before,formal,2019-12-28T06:00:01Z,"It wasn’t long before optimism over Abenomics, at home and abroad, began to chip away at the “lost decades” narrative that followed the bubble era."
bubble,before,formal,2019-12-27T19:00:47Z,"It’s arguable a cowboy culture in the industry stretches as far back as the Victorian land boom of the 1880s and 1890s, when soaring property prices and easy credit provided by a string of fledgling banks and building societies helped create a speculative financial bubble – the pricking of which saw fortunes destroyed and corrupt premier James Munro bankrupted and beaten in the street."
bubble,before,formal,2019-12-27T10:00:37Z,"Both of them aimed to adapt to “new times”, acknowledging, respectively, that in the 1980s Thatcherism had dismantled the old Labour class coalition, making the young, working population likely to vote Tory; and that the 2008-09 financial crisis had made Blairism’s giddy bubble economics extremely implausible."
bubble,before,formal,2019-12-27T09:30:36Z,“Why would you open a restaurant if you could open a bubble waffle stand that dished out amazing-looking cheap carbs at nine quid a throw?
bubble,before,formal,2019-12-27T07:00:35Z,"Or perhaps not quite sated, given how handy the surplus can be to fold into bubble and squeak, or sandwiches."
bubble,before,formal,2019-12-25T18:00:48Z,"GSK developed one of the first gene therapies, Strimvelis, for a rare immune deficiency known as “bubble baby” syndrome."
bubble,before,formal,2019-12-25T08:00:36Z,"But I live in my own bubble.” She has received messages accusing her of being too flamboyant and, when she was first hired, the former Dancing on Ice judge Louie Spence called her a “nobody”, accusing the BBC of “box-ticking” for diversity."
bubble,before,formal,2019-12-25T08:00:36Z,"“I don’t get that involved in politics because I’m in my dance bubble,” she says, but she does feel that diversity is treated as a “fad” in Germany."
bubble,before,formal,2019-12-24T14:59:23Z,Boots is offering half-price discounts on selected No7 cosmetics and Oral B toothbrushes as well as some Christmas gift collections such as Champneys bubble bath.
bubble,before,formal,2019-12-24T10:00:10Z,They’re the bubble.
bubble,before,formal,2019-12-23T12:00:43Z,"The stir-fry The other standout winner of our taste test comes from my colleague Meera Sodha, who describes her turkey curry with shredded brussels sprouts, caramelised onions and ginger as “more interesting than your traditional bubble and squeak … warming, spicy, healthy and tasty”."
bubble,before,formal,2019-12-23T12:00:43Z,"Scrape any solids off the base of the pan, stir in the sugar and a good pinch of salt, bring to a simmer, then turn down the heat slightly and leave to bubble gently for about 20 minutes, until thickened."
bubble,before,formal,2019-12-23T09:00:40Z,"Even overcooked sprouts can be transformed into a delicious brunch, mashed with potatoes to make colcannon or bubble and squeak."
