target_word,when,type,date,sentence
prompt,before,formal,2021-12-31T22:30:08Z,"James’s absence could prompt Chelsea to try to sign Kieran Trippier, who wants to return to the Premier League from Atlético Madrid and is being pursued by Newcastle."
prompt,before,formal,2021-12-31T19:00:27Z,Seeing the truth of one’s own lives laid bare by the pandemic will no doubt prompt some to reorganise.
prompt,before,formal,2021-12-31T17:05:48Z,"The latest stabbings will prompt renewed discussion about the possible causes of youth violence, with experts suggesting these include a rise in the number of children who are vulnerable, increased pressure on services such as policing, and social media fuelling conflict."
prompt,before,formal,2021-12-31T01:16:40Z,The ACLU of Colorado has expressed hope that the case might prompt reform of mandatory minimum sentencing laws in the state.
prompt,before,formal,2021-12-30T20:56:06Z,"The result of the inquiry has been closely watched, given it could prompt the launching of another inquiry by the parliamentary standards commissioner, Kathryn Stone, into whether Johnson broke the MPs’ code of conduct."
prompt,before,formal,2021-12-30T07:30:44Z,Gendrot’s encounters with male boorishness prompt him to reflect on his own conflicted relationship with masculinity.
prompt,before,formal,2021-12-29T19:28:59Z,"Chris Hopson, chief executive of NHS Providers, said it was “vital that NHS staff get prompt access to the tests they need to ensure they can return to work as quickly as possible” and suggested “looking at whether we need to reserve dedicated testing capacity for NHS staff for a period”."
prompt,before,formal,2021-12-28T17:32:15Z,Memorial’s leadership has said it is useless trying to understand which of the government’s red lines it crossed to prompt the authorities to shut it down.
prompt,before,formal,2021-12-27T08:00:46Z,"Less than half a mile away, next to the blue waters of Gibraltar’s mid-harbour marina, the peninsula’s regulators are reviewing a proposal that would prompt blockchain firm Valereum to buy the exchange in the new year – meaning the British overseas territory could soon host the world’s first integrated bourse, where conventional bonds can be traded alongside major cryptocurrencies such as bitcoin and dogecoin."
prompt,before,formal,2021-12-26T12:15:22Z,"“Although still few and spatially localised, such cases show that with prompt and appropriate action, it is possible to reduce human-induced extinction rates,” the Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services (IPBES)’s global assessment noted."
prompt,before,formal,2021-12-24T23:01:34Z,"Martin Newell, a spokesperson for the advocacy group Grounded Kiwis, said the scheme’s resumption would prompt “disbelief” among New Zealanders overseas, who may lose out on MIQ spots to the investors."
prompt,before,formal,2021-12-24T06:00:17Z,It would be handy for a prompt underground getaway.
prompt,before,formal,2021-12-24T04:09:42Z,"“What we’re stressing is that’s a prompt, a reminder for you to monitor for symptoms, so please get tested if you’re unwell but don’t get tested unless you are feeling unwell."
prompt,before,formal,2021-12-24T00:02:58Z,"Martin Newell, a spokesperson for the advocacy group Grounded Kiwis, said the scheme’s resumption would prompt “disbelief” among New Zealanders overseas, who may lose out on MIQ spots to the investors."
prompt,before,formal,2021-12-23T00:01:40Z,"Manual told us that, “While our research was intended to prompt discussion around this important issue, it was not (and was not represented as being) undertaken to the standard of professional academic clinical or public health research.”"
prompt,before,formal,2021-12-22T16:30:32Z,"QR codes still have a role, whether as an outbreak investigation tool in low infection settings or allowing automatic notification of contact with an exposure site or as a memory prompt of your movements in high transmission areas."
prompt,before,formal,2021-12-22T13:34:39Z,"What we’re saying is you can’t use hate speech that would prompt a gender-related crime, a sex-related crime or a race-related crime,” he said."
prompt,before,formal,2021-12-21T18:34:07Z,"Boris Johnson said on Friday he was not “closing things down”, but increasing pressures on the NHS may prompt a rethink."
prompt,before,formal,2021-12-21T15:36:45Z,"Although the economy has got better at coping with restrictions with each new wave, we still suspect it would prompt a deterioration in the public finances via lower tax revenues and the potential reintroduction of government support schemes.” The ONS has revised down borrowing over the financial year so far by £9bn, but Samuel Tombs, chief UK economist at Pantheon Macroeconomics, a consultancy, said it was “likely to overshoot the OBR’s forecast” of £183bn."
prompt,before,formal,2021-12-20T22:38:46Z,Schumer said continued Republican opposition to voting rights efforts – guaranteed given it is being pushed in answer to Republican moves to restrict voting and make it easier to overturn elections – would prompt consideration of filibuster reform.
prompt,before,formal,2021-12-20T18:34:11Z,"The Nuvaxovid vaccine is more accurately described as a protein vaccine, which in contrast to classical vaccines is genetically produced and contains minuscule particles from a version of the virus’s spike protein grown in moth cells in the laboratory that prompt the formation of antibodies in an individual."
prompt,before,formal,2021-12-20T15:17:51Z,"Boris Johnson said on Friday he was not “closing things down”, but increasing pressures on the NHS may prompt a rethink."
prompt,before,formal,2021-12-19T08:30:21Z,"For many Afghans at home and in exile, they prompt anger and despair; my phone regularly fills with incredulous screenshots and messages."
prompt,before,formal,2021-12-19T08:00:21Z,"I only intend this as a light prompt to get him talking about Hollywood in 2021, a curious time for showbusiness, with Covid precautions and advances in streaming tech combining to make so many movies available for home viewing at the same time as they appear in cinemas."
prompt,before,formal,2021-12-17T19:07:38Z,"He also tweeted: The calamitous collapse in Conservative support – a 34% swing in a seat where they had a near-23,000 majority in 2019 – will prompt significant jitters among many Tory MPs, and is likely to raise questions about Boris Johnson’s future."
prompt,before,formal,2021-12-17T05:41:52Z,"The calamitous collapse in Conservative support – a 34% swing in a seat where they had a near-23,000 majority in 2019 – will prompt significant jitters among many Tory MPs, and is likely to raise questions about Johnson’s future."
prompt,before,formal,2021-12-16T08:00:39Z,Government leaders at environmental conferences must feel supported by their people to make changes.” The task now is to raise funding and build an organisation that will prompt more players to support his initiative.
prompt,before,formal,2021-12-16T04:05:09Z,"“In particular, a sizeable proportion of the choice sector has been exposed for delivering poor outcomes, especially considering these products generally charge higher fees than their MySuper equivalents.” Sign up to receive an email with the top stories from Guardian Australia every morning She said trustees had a legal duty to act in the best financial interests of members and those in charge of underperforming funds should “prompt action to address areas of concern”."
prompt,before,formal,2021-12-15T18:57:12Z,"A Conservative loss in the North Shropshire byelection would be “an absolute disaster” for Boris Johnson and would prompt calls for a complete shake-up of the Downing Street operation, Tory MPs have said ahead of the crucial vote on Thursday."
prompt,before,formal,2021-12-15T18:57:12Z,"I’m concerned they might act like headless chickens if we lose North Shropshire.” Such a loss should prompt “radical changes” to the Downing Street and whipping operations, they said."
prompt,before,formal,2021-12-15T11:46:08Z,"The age at which people can expect to start to experience health problems that might prevent them working is around 63, which could leave many people facing several years where they either have to rely on private pension provision, which may be inadequate anyway, or other benefits.” Helen Morrissey, a senior pensions and retirement analyst at Hargreaves Lansdown, said: “While it had been proposed that the increase in state pension age to age 68 should be moved forward to 2037-39 – from 2044-46 – an analysis of the latest life expectancy data as part of this review could stop this in its tracks.” Morrissey said the review it could also prompt a closer look at the pensions triple lock – the government promise to link pension rises to earnings, inflation or 2.5%, which ever it higher."
prompt,before,formal,2021-12-14T21:36:30Z,"Asked whether he thought Conservative MPs should be writing to the 1922 Committee to prompt a leadership election, he told broadcasters: He has an 80-seat majority and he’s just had, you know, 90 or 100 of his own MPs voting against him on a three-line whip, that’s a significant blow to the authority of the Prime Minister."
prompt,before,formal,2021-12-14T18:24:46Z,"A staggering figure but one that makes sense when you consider the doubling rate – though the revelation of such a figure may itself prompt the public to take precautions, flattening the curve."
prompt,before,formal,2021-12-14T18:24:46Z,"If additional measures are brought in, these would take a week or so to prompt any fall in daily cases because of the delay between being exposed to the virus and getting tested for it."
