word,event,period,sentence,timestamp
rank,e-gaming-rank,after,"Democratic US senator Mark Kelly filed a lawsuit on Monday seeking to nullify the “chilling” attempt by the defense secretary, Pete Hegseth, to reduce the military veteran’s rank and pension as punishment for speaking out against the Trump administration.",2026-01-12T20:14:55Z
rank,e-gaming-rank,after,“Hegseth wants our longest-serving military veterans to live with the constant threat that they could be deprived of their rank and pay years or even decades after they leave the military just because he or another secretary of defense doesn’t like what they’ve said.,2026-01-12T20:14:55Z
rank,e-gaming-rank,after,"Couples undergoing IVF in the UK are exploiting an apparent legal loophole to rank their embryos based on genetic predictions of IQ, height and health, the Guardian has learned.",2025-12-06T06:00:45Z
rank,e-gaming-rank,after,"To rank each work in turn, they go: Rabbit at Rest (1990), Rabbit Is Rich (1981), Rabbit, Run (1960) and Rabbit Redux (1971).",2025-12-22T12:00:29Z
rank,e-gaming-rank,after,A US judge on Thursday blocked the Pentagon from reducing Senator Mark Kelly’s retired military rank and pension pay because he urged troops to reject unlawful orders.,2026-02-12T19:04:38Z
rank,e-gaming-rank,after,Kelly filed his lawsuit against Hegseth’s attempt to reduce the military veteran’s rank and pension a week later.,2026-02-12T19:04:38Z
rank,e-gaming-rank,after,"Defense Secretary Pete Hegseth said on Monday that he had issued a formal censure to Democratic senator Mark Kelly and initiated proceedings that could strip the Arizona lawmaker of his retired military rank and cut his pension, escalating a dispute that began when Kelly urged service members to resist unlawful orders.",2026-01-05T16:24:19Z
rank,e-gaming-rank,after,"Just days after a covert mission to capture Venezuelan president Nicolás Maduro and strike the capital city, Hegseth announced that Kelly faces retirement grade determination proceedings, a rare administrative action that could see the former astronaut and navy captain demoted in his retired rank.",2026-01-05T16:24:19Z
rank,e-gaming-rank,after,The Pentagon chief has directed the navy secretary to complete the rank review within 45 days.,2026-01-05T16:24:19Z
rank,e-gaming-rank,after,"Mountain gorillas and chimpanzees rank very low in the “monogamy league table”, instead living in non-monogamous groups.",2026-02-05T15:29:08Z
rank,e-gaming-rank,after,The Guardian has learned that couples undergoing IVF in the UK are exploiting an apparent legal loophole to rank their embryos based on genetic predictions of IQ.,2025-12-06T06:00:49Z
rank,e-gaming-rank,after,"Andrew Mountbatten Windsor will be stripped of his honorary rank of vice-admiral, which he was given in 2015 and has retained even after giving up other military positions in 2022, John Healey confirmed on Sunday.",2025-11-02T10:49:22Z
rank,e-gaming-rank,after,"“We’ve seen Andrew surrender the honorary positions he’s had throughout the military, and guided again by the king, we are working now to remove that last remaining title of vice-admiral that he has.” Asked whether Mountbatten Windsor could lose his military medals as well, Healey said they were “medals for his service”, adding: “I don’t have an update for you on that, but just as with his vice-admiral rank and title, we would be guided by the decisions the king makes.” Mountbatten Windsor has been under renewed scrutiny over his ties to Epstein after the publication of posthumous memoirs by Virginia Giuffre, who said she was forced to have sex with the former prince on three occasions, including when she was 17 and also during an orgy after being trafficked by Epstein.",2025-11-02T10:49:22Z
rank,e-gaming-rank,after,"After Guiffre filed a civil case in New York three years ago, he stopped using most of his military titles but kept hold of the rank of vice-admiral.",2025-11-02T10:49:22Z
rank,e-gaming-rank,after,"In a study aiming to do just that, researchers at Flinders University asked 30,000 Australians to rank the problems that mattered most to them.",2025-10-01T00:17:57Z
rank,e-gaming-rank,after,"Frankly, you could rank the top 20 moments in this song alone: Van Dyke Parks’ grave, pristine string arrangements as Newsom exclaims “being a woman!” at 7:38 pip it for me.",2025-10-23T15:15:25Z
rank,e-gaming-rank,after,"The YouGov poll, carried out to coincide with the Greens’ ongoing annual conference in Bournemouth, asked voters in England to rank the five main parties in order of how favourably they felt about them, rather than the usual metric of which they planned to vote for.",2025-10-04T11:00:03Z
rank,e-gaming-rank,after,"Forty-one students achieved the highest possible rank of 99.95, up from 39 last year.",2024-12-11T14:01:49Z
rank,e-gaming-rank,after,Bird migrations rank as one of nature’s greatest spectacles.,2025-10-16T08:00:00Z
