word,event,period,sentence,timestamp
cancel,me-too,after,"The average American is losing hundreds of dollars each year on subscriptions they forget to cancel or struggle to end, even as federal consumer protections meant to address the problem remain blocked by a federal court ruling.",2026-01-13T12:00:02Z
cancel,me-too,after,"“These marketing techniques rely on the fact that people are busy – that they’ll forget they entered a trial period.” The bill, shared exclusively with the Guardian, comes as the Federal Trade Commission quietly solicited public input on restoring its “click to cancel” rule, which was overturned in July by the eighth circuit court of appeals on procedural grounds.",2026-01-13T12:00:02Z
cancel,me-too,after,"The Internet and Television Association, which represents major cable providers, previously argued the FTC’s click-to-cancel rule could “burden, confuse, and harm consumers”.",2026-01-13T12:00:02Z
cancel,me-too,after,"Consumer groups petitioned the FTC in November to reopen the click-to-cancel rule-making process, arguing the court’s decision addressed only procedural matters rather than the substance of the protections.",2026-01-13T12:00:02Z
cancel,me-too,after,"Donald Trump has declared he intends to cancel most of the executive orders signed by Joe Biden, his predecessor as president of the United States.",2025-11-28T20:27:17Z
cancel,me-too,after,"China threatened to cancel high-level trade talks with the UK earlier this year over a government minister’s visit to Taiwan, the Guardian can disclose.",2026-01-02T13:00:10Z
cancel,me-too,after,"China’s threat to cancel the talks, according to two well-placed UK sources briefed on the discussions, came after Alexander visited Taipei on 29 and 30 June and met the Taiwanese president, Lai Ching-te.",2026-01-02T13:00:10Z
cancel,me-too,after,"In what is thought to be the first case of its kind since the announcement, the carer, who has three children, has asked officials to cancel the in-work benefits she receives.",2025-11-29T06:00:30Z
cancel,me-too,after,"“I heard about these changes and decided to cancel all my benefits,” she said.",2025-11-29T06:00:30Z
cancel,me-too,after,"The Associated Press published the list after airline regulators identified “high-volume markets” where the Federal Aviation Administration (FAA) says air traffic must be reduced by 4% by 6am ET on Friday, a move that would force airlines to cancel thousands of flights and create a cascade of scheduling issues and delays at some of the nation’s largest airports.",2025-11-07T01:09:48Z
cancel,me-too,after,Southwest said it would cancel 120 flights for Friday and United said it plans to cut 4% of its flights Friday through Sunday.,2025-11-07T01:09:48Z
cancel,me-too,after,"Delta also said it would provide additional flexibility to customers to change, cancel or refund their flights, including basic economy fares, without penalty.",2025-11-07T01:09:48Z
cancel,me-too,after,"Now in its 11th year, A Drag Queen Christmas, featuring performers from RuPaul’s Drag Race, will stop in the Florida Panhandle city of Pensacola on Tuesday night, despite state officials’ best efforts to cancel the show for what they claim is an “anti-Christian” performance at a city-owned theater.",2025-12-23T20:32:22Z
cancel,me-too,after,"The state attorney general has spent nearly two months lobbying Pensacola officials to cancel the show, to no avail.",2025-12-23T20:32:22Z
