word,event,period,sentence,timestamp
evergreen,ship-suez,after,"You may have ambitions for a grand evergreen number that defines your garden year round, traditionally grown from yew or box – which these days arrives with understandable concern of box tree caterpillar and box blight – or something less formal that will blend into your bedding as the year turns, such as a hedge of Amelanchier lamarckii, hydrangea or rose.",2026-01-23T11:00:12Z
evergreen,ship-suez,after,Some trees have so many of the evergreen orbs in them that they appear to be in spring leaf.,2025-12-20T05:30:20Z
evergreen,ship-suez,after,The pearly white berries look almost translucent against the evergreen leaves.,2025-12-20T05:30:20Z
evergreen,ship-suez,after,"Around them, the Grade II-listed cemetery has the air of a public park with its broad central avenue, geometric design and extensive planting of evergreen species.",2025-10-22T04:30:55Z
evergreen,ship-suez,after,"On one wall of the central chapel, evergreen Asplenium ferns dominate: wall rue (Asplenium ruta-muraria), tiny, with club-shaped, blueish-green fronds; maidenhair spleenwort (Asplenium trichomanes), with its shiny black stems and lime-green leaflets bringing a delicate flair, usually preferring cliffs and rocky slopes; and the strap-like fronds of hart’s-tongue fern (Asplenium scolopendrium), which favours places where more water gathers.",2025-10-22T04:30:55Z
evergreen,ship-suez,after,"It makes sense that they would want to tap into modern pop’s deep well of nostalgia, but rather than recalling what made Blue originally stand out, Reflections often feels like a tribute to other evergreen boybands.",2026-01-02T08:00:05Z
evergreen,ship-suez,after,"Conifers planted by the previous landowner, the Victorian evergreen enthusiast William Beresford, were already thriving there.",2025-03-29T07:00:44Z
evergreen,ship-suez,after,"Wuthering Heights is one of our evergreen bestsellers, but I do think the film is coming out at the perfect moment.",2026-02-06T16:00:10Z
evergreen,ship-suez,after,"Thankfully, that practice is long gone, and the pines’ canopy now is much higher, embossing the sky with their evergreen heads.",2025-12-23T05:30:48Z
evergreen,ship-suez,after,"The story of the plucky red-headed orphan featured evergreen songs (with lyrics by Martin Charnin) including Tomorrow, You’re Never Fully Dressed Without a Smile and It’s the Hard-Knock Life, which was sampled by Jay-Z in a 1998 single.",2025-05-16T10:54:59Z
evergreen,ship-suez,after,"The evergreen leaves of those upper branches are dark emerald ovals, glossy from their thick waxy cuticles.",2025-12-08T05:30:41Z
evergreen,ship-suez,after,Schwartz was 24 when it became a Broadway hit in 1972 but many of the evergreen lyrics reveal an old soul.,2026-01-05T11:52:45Z
evergreen,ship-suez,after,"Juni Habel – Evergreen in Your Mind Sharing the same dusky light as Jessica Pratt’s records, the Norwegian singer traces the gap between reality and memory in swaddled vocal harmonies, to a reassuring acoustic guitar motif.",2026-01-08T12:00:07Z
evergreen,ship-suez,after,It’s the evergreen equivalent of carrying personal defence spray.,2026-02-19T06:00:56Z
evergreen,ship-suez,after,It’s an evergreen formula: people putting their heads in a lion’s mouth then scrambling to find a way out.,2025-12-25T19:00:48Z
evergreen,ship-suez,after,"Different plants have different levels of frost tolerance, ranging from tender (for example, tomatoes) to very hardy (eg evergreen trees, such as pines).",2025-10-17T10:00:56Z
evergreen,ship-suez,after,"With a crescendo of clattering hooves, guttural shouts, and resin‑rich evergreen aromas, the pound gate closes.",2025-09-27T04:30:32Z
evergreen,ship-suez,after,"Adventureland’s evergreen feelgood factor is partly associated with the pre-Deadpool era, where future world-beater Reynolds wasn’t indulged by major Hollywood studios to essentially play a carbon copy of himself in a superhero gimp suit, or to front sappy football documentaries with that trademark toilet wit.",2025-12-29T10:00:33Z
evergreen,ship-suez,after,"A sleek kitchen now flows across one side and dining and seating areas populate the other, while across the entirety glass doors open on to an evergreen garden.",2026-01-16T11:30:55Z
evergreen,ship-suez,after,"The score by Bay Bryan and Claire O’Connor sparkles with vocal harmonies and pretty tunes, momentarily making us forget the evergreen songs from the movie.",2025-07-28T09:32:38Z
evergreen,ship-suez,after,"It does, however, raise evergreen questions about sensationalism and sexism, and captures the historical era, including the limited scientific knowledge hindering the investigation.",2025-08-17T13:00:32Z
evergreen,ship-suez,after,"Croft was confirmed as permanent coach in October and the evergreen Anderson signed as the red-ball captain for 2026, with another one-year contract, backflipping into his mid-40s.",2026-02-18T12:30:27Z
evergreen,ship-suez,after,"Pat Cummins and Josh Hazlewood have traditionally bothered him far more but, in their absence last week, it was the evergreen Starc who wiped him out for scores of nought and eight.",2025-11-30T10:00:03Z
evergreen,ship-suez,after,"As I sat down to watch, I realised I’d failed to take notice of the rating and perhaps assumed that due to the young cast and evergreen studio thirst for a wider audience, it would be a PG-13.",2026-01-08T20:17:39Z
evergreen,ship-suez,after,"Geertruida – the versatile Dutch international who is on a season-long loan from RB Leipzig – certainly looked the part replacing Noah Sadiki in central midfield alongside the evergreen captain, Granit Xhaka.",2025-12-20T17:27:24Z
