target word,event id,register,entropy shift,drift score,disruption score
tag,social-media,Formal,0.13012056387619073,0.014568368353004669,0.2456727593993768
drop,nft,Formal,0.30562021596232414,0.04966859113971125,0.561571840784937
model,chatgpt-launch,Formal,0.4849397540361446,-0.030120481927710847,0.9999999900000001
binge,streaming,Formal,0.2474220185764265,-0.016032393045372784,0.5108764301982258
prompt,chatgpt-launch,Formal,0.18899125709044057,0.009478017194911004,0.36850449698597015
variant,covid-19,Formal,0.30717166287855757,0.09490039426701231,0.5194429314901028
token,nft,Formal,0.4405318121613695,-0.029108690976096065,0.910172315298835
spoiler,streaming,Formal,0.2001915914517471,-0.011246265539724444,0.41162944844321864
tweet,social-media,Formal,0.8075901865117533,0.10404198659404144,1.5111383864294652
remote,covid-19,Formal,0.38144386686038095,-0.014765725285773326,0.7776534590065353
algorithm,ai-automation,Formal,0.2638158000707752,-0.03841915876446427,0.5660507589060146
stream,streaming,Formal,0.2865049110147973,0.04948569035947225,0.5235241316701224
bubble,covid-19,Formal,0.04467958483399838,-0.05614732032818242,0.14550648999617918
