word,event,period,sentence,timestamp
nerf,e-gaming-recent,after,Hamley’s list of the top 100 toys (not ranked): LEGO Classic Bricks Monopoly Beanie Babies Polly Pocket My Little Pony Uno Rubik’s Cube Tamagotchi Clackers Trivial Pursuit Slime Scooter Pogo stick Ludo Subbuteo Transformers Teenage Mutant Ninja Turtles figures Operation Hungry Hippos Hatchimals Bratz Care Bears Connect 4 Kaleidoscope Yo-Yo Weebles Masters of the Universe figures Matchbox Cars Speak and Spell LeapPad Teletubby doll Thunderbirds Tracy Island playset Power Ranger figures Pie Face Lite-Brite Nerf Blasters Sylvanian Families Battleship Nintendo Game Boy Stretch Armstrong Furby Hot Wheels Cars Troll dolls Play-Doh Pokémon Cards Slinky Cabbage Patch Kids Mr.,2025-07-14T23:00:40Z
nerf,e-gaming-recent,after,"Hamleys, Christmas Eve again, 2015, trying to fabricate new interests for my six-year-old daughter, because I was against gendered playthings and we already had all the Nerf guns it was possible to have.",2025-08-11T16:10:11Z
nerf,e-gaming-recent,after,It’s like finding out that a Nerf gun was used to assassinate JFK.,2025-03-31T15:23:26Z
nerf,e-gaming-recent,after,"I don’t care if Nerf says that was a statistical anomaly, I’m not handling it the same way anymore!” As for what to do about Tasers, “it’s complicated,” said Oliver.",2025-03-31T15:23:26Z
nerf,e-gaming-recent,after,"Lennon, 10 $10.97 at GameStop $17.99 at Target *** For the thrill-seeker Nerf guns They are a great way to interact with friends and maybe have a fun battle, which could increase your ability to focus.",2025-11-15T20:15:11Z
nerf,e-gaming-recent,after,The LAPD has said the department does not use “rubber bullets” but rather foam rounds – a condensed sponge projectile resembling a hard Nerf pellet – designed to cause pain on impact without penetrating the skin.,2025-06-11T03:02:23Z
nerf,e-gaming-recent,after,"As Clark says: “When a criminal’s done something daft, like robbed a bank with a Nerf gun or lost the keys to their getaway vehicle, we have a laugh at their expense, then discuss how we’d pull it off ourselves.",2024-07-02T14:51:22Z
nerf,e-gaming-recent,after,"NERF, the toy gun company, stands for “non-expanding recreational foam”.",2024-05-15T10:00:38Z
nerf,e-gaming-recent,after,"Levy explains that to “nerf” is now a verb, to “weaken or make less dangerous”, a way of evening out the game.",2024-05-15T10:00:38Z
nerf,e-gaming-recent,after,"“A prevailing theory is that if we want to play fair, we should nerf rich white men,” writes Levy, but she has her doubts.",2024-05-15T10:00:38Z
nerf,e-gaming-recent,after,"“We use Nerf guns to hit balloons, representing the momentum of photons to show kids the light spectrum,” she says.",2023-06-13T15:00:02Z
nerf,e-gaming-recent,after,"He has put his name to restaurants, chocolates, toys, clothes and Nerf guns.",2024-12-20T11:33:15Z
nerf,e-gaming-recent,after,Is Michel Gondry up for bringing us Nerf Wars: the Movie?,2024-09-06T11:18:42Z
nerf,e-gaming-recent,after,"JW Deer Shed 25 to 28 July; North Yorkshire Set to be headlined by Kae Tempest, Wunderhorse and the Big Moon, Deer Shed’s 15th-anniversary bash will take over Baldersby Park near Thirsk, with pastoral surroundings feeding into a family-oriented take on festival season combining music, art, literature and comedy with pro-wrestling and a Nerf arena.",2025-03-15T11:55:48Z
