word,event,period,sentence,timestamp
buff,e-gaming-recent,after,"Unusually buff for a posho, but that is because he is played by Leo Suter, who was Harald Hardrada in Vikings: Valhalla until about 10 minutes ago and evidently still has protein shakes to use up.",2026-01-05T22:00:19Z
buff,e-gaming-recent,after,"The film-makers address this by running a parallel commentary on the story beats and structure from one of the characters, a funny/annoying lemur, who is a horror-movie buff and who has seen all the classics of the genre.",2025-10-07T10:00:02Z
buff,e-gaming-recent,after,"For example, instead of packing a headband, face mask and scarf, Madden recommended simply packing a Buff neck warmer.",2026-02-14T14:00:54Z
buff,e-gaming-recent,after,"Buff Neck Warmer $29.03 at Buff If you’re looking for inspiration, a few weeks ago, wardrobe stylist Samantha Elise gave me great advice about wardrobe staples like black pants and trench coats that can pair with almost anything.",2026-02-14T14:00:54Z
buff,e-gaming-recent,after,"They’ve heard of a house in the area haunted by a dead German mouse-boy named Willie; turns out rumours of his death are somewhat exaggerated as he’s still there and quite buff (and is played by the film’s screenwriter David Vaughn), although half of his skin is covered in mutilated latex and he wears a homemade mouse mask most of the time.",2025-06-17T10:00:41Z
buff,e-gaming-recent,after,"$29.78 at Amazon $30 at BUFF On a regular winter day in Anchorage, I’ve walked across a grocery store parking lot in 40mph gusts of wind.",2026-01-15T20:15:49Z
buff,e-gaming-recent,after,A good moisturizer plus a Buff is my secret winter weapon.,2026-01-15T20:15:49Z
buff,e-gaming-recent,after,"Versatile and pretty, the buff can be worn as a scarf or even pulled over my head as extra insulation under a hat.",2026-01-15T20:15:49Z
buff,e-gaming-recent,after,"Julia O’Malley Buff ThermoNet Neckwear $25 at Farm to Feet $36 at Amazon When it’s cold, good socks matter more than you might think!",2026-01-15T20:15:49Z
buff,e-gaming-recent,after,"Once the hummingbird hawk-moth has drunk its fill, its spot is taken by a buff-tailed bumblebee (Bombus terrestris) with a problem.",2025-10-09T04:30:14Z
buff,e-gaming-recent,after,"I thought nectar-robbing was the buff-tail’s cunning secret, but I’ve learned that it’s just one of a long line of looters – an identity parade that also includes white-tailed and red-tailed bumblebees, as well as some mining and leaf-cutter bees.",2025-10-09T04:30:14Z
buff,e-gaming-recent,after,"“Buff [sandals] with a soft cloth if you want more shine,” says Barr.",2026-01-09T14:00:39Z
buff,e-gaming-recent,after,"A scratched buckle can be freshened up using a polishing cream and cloth to buff out marks and give the metal some shine, Jarrett says.",2026-01-09T14:00:39Z
buff,e-gaming-recent,after,"Sure enough, when a bird bobs up a few feet away, my hunch is confirmed by the dark crown and back, and paler buff cheeks, of a little grebe (Tachybaptus ruficollis) in winter plumage.",2026-01-14T05:30:16Z
buff,e-gaming-recent,after,"In ancient times, athletes would exercise in the buff in order to show off their rippling muscles (the words gym and gymnasium go back to the Greek for exercise naked).",2026-02-12T12:18:23Z
buff,e-gaming-recent,after,This four-part history-buff series gains access to the British Museum in London and top experts for answers.,2025-11-24T06:10:29Z
buff,e-gaming-recent,after,"In a later deposition, Bullock said he sent the email to Bovino because Bovino was a “history buff” whom he believed would find it funny.",2026-02-01T17:32:58Z
buff,e-gaming-recent,after,"Heterosexuality, #couplegoals, being proudly loved-up or posting even the subtlest “soft launch” – a teaser shot on socials of the hairy back of a hand on the other side of a table, or a buff-looking shadow – have all, apparently, become deeply uncool.",2025-11-02T14:00:09Z
buff,e-gaming-recent,after,But you don’t need to be much of a history buff to know that that this particular crime would be on the JFK level of momentousness if it had actually succeeded.,2025-10-10T14:00:56Z
buff,e-gaming-recent,after,"On a raucous early evening in front of a hugely one-sided crowd, Nepal so nearly provided the upset this World Cup needed and England were so desperate to avoid, as they seek to buff a tarnished winter into some kind of shine.",2026-02-08T14:04:17Z
buff,e-gaming-recent,after,"A surprisingly buff McFly open proceedings, anchoring their rock credentials with 2023’s Where Did All the Guitars Go?, an embarrassing “real music” diatribe about the “shit” on the radio.",2025-09-21T16:00:21Z
buff,e-gaming-recent,after,"The successor to last year’s wearisome “winter arc” (TikTokers spending the dark months in the gym to emerge buff in spring), the Great Lock-In is an arbitrary set of self-optimisation goals we’re all supposed to sign up for.",2025-09-08T10:00:41Z
buff,e-gaming-recent,after,But their fresh start as good guys is scuppered by a snow leopard and a frame-up for a series of daring heists involving a precious metal called MacGuffinite (a silly gag for film-buff adults).,2025-07-24T23:01:42Z
buff,e-gaming-recent,after,"I did find, though, that application with a fluffy brush gave me more time to buff in the product before it set, but oily skins may be able to get away with fingertips.",2025-09-03T09:00:19Z
buff,e-gaming-recent,after,"I told myself this was a kid being excited about a new hobby, but when he started talking about “legs days” and “arms days”, and “getting buff”, I realised he was getting information from somewhere – maybe school, maybe the internet.",2024-02-20T16:55:00Z
buff,e-gaming-recent,after,"As per the trailer, one day she is walking home when she sees an incredibly buff snowman with a six-pack and meticulously modelled nipples.",2024-10-29T11:26:52Z
buff,e-gaming-recent,after,"Van Der Beek shot to fame in 1998 as Dawson Leery, the teenage film buff who was as obsessed with Steven Spielberg as he was with his neighbour and lifelong crush, Joey Potter (played by Katie Holmes).",2026-02-11T19:38:53Z
buff,e-gaming-recent,after,"The anti-ageing industry in the US has attracted a flurry of interest from a clutch of health-obsessed tech entrepreneurs, some of whom are known as “buff billionaires” for their newfound fitness.",2023-11-05T12:00:08Z
buff,e-gaming-recent,after,Do you know a buff Cochin from a bantam hen?,2025-10-24T15:12:00Z
buff,e-gaming-recent,after,"A massive history buff – “I spent far too much time in the toilet reading Horrible Histories” – he can currently be found masquerading, among other things, as a Napoleonic soldier in a role-playing online wargame.",2026-01-31T07:00:53Z
buff,e-gaming-recent,after,"That’s of a piece with her amused but pained persona, every line delivered as if Beaumont is saying, “it’s shameful to tell you this, but I can’t resist.” Cue stories of “bottomless brunches” with her “mum friends”, a “butler in the buff” stunt gone wrong, and tales of her upbringing, where everyone had “either gangrene or a perm”.",2023-12-04T15:05:54Z
buff,e-gaming-recent,after,*** Keep heated Multifunctional neckwear £25.95 at Buff £14.21 at Amazon Harley also wants “a decent buff to keep the wind out my ears because they hurt when it’s cold.,2025-11-07T15:00:38Z
buff,e-gaming-recent,after,"The council is in the process of replacing the faded buff-coloured balls with vibrant yellow cans, and the terns have taken a shine to these new flat-topped perches.",2025-05-23T04:30:20Z
buff,e-gaming-recent,after,"Any gospel airs are dispelled by the seven buff dancers prowling across stage, gyrating while Carey pays them no notice.",2025-10-19T00:11:05Z
buff,e-gaming-recent,after,It’s a really beautiful color and one of the coziest sweaters I own.” Sézane Emile Cardigan *** If she’s a gym buff $168 at Lululemon Trudging all that gear from work to the studio and back again can pose a serious barrier to entry for the most devoted gymgoer.,2026-02-04T21:16:38Z
buff,e-gaming-recent,after,Ensure she’s always well-stocked and organized with this gym buff-approved Lululemon bag featuring several smart compartments.,2026-02-04T21:16:38Z
buff,e-gaming-recent,after,I’m a classical music buff so I’m very partial to Prokofiev’s Sleigh Ride.,2025-12-02T08:23:58Z
buff,e-gaming-recent,after,You may recognise it: the song often plays over the top of these AI-generated fantasias featuring a cartoonishly fat cat or an equally buff feline with a suspiciously veiny human body.,2025-08-17T15:00:33Z
buff,e-gaming-recent,after,"You don’t have time to memorise the league position of every club in the pyramid, so this is where you effortlessly step in by plucking out a fascinating fact guaranteed to wow guests: did you happen to know, you will say, that Manchester City’s brutish number nine, Erling Haaland, is actually a surprisingly knowledgable classical music buff?",2025-11-28T10:00:03Z
buff,e-gaming-recent,after,"Burdened with this terrible conviction, Odysseus infiltrates the squalid court in the Christ-like imposture of a tramp, though he has a pretty buff physique like a sunburnt, weather-beaten version of Leonardo’s Vitruvian man.",2025-04-10T06:00:22Z
buff,e-gaming-recent,after,*** The best winter running gear *** Protective headgear Arc’teryx Norvan balaclava £65 at Arc’teryx Buff Reflective DryFlx beanie From £16.78 at Amazon £21.95 at Buff The right headgear can save a run when the wind is blowing hard or temperatures are very low.,2025-01-14T15:00:52Z
buff,e-gaming-recent,after,"The Arc’teryx merino balaclava can be worn as a buff around your neck, pulled up over your mouth, or as a balaclava that wraps around your ears and forehead – the top is open for ventilation.",2025-01-14T15:00:52Z
buff,e-gaming-recent,after,"If you like your head completely covered, bung on a Buff beanie as well.",2025-01-14T15:00:52Z
buff,e-gaming-recent,after,"With the parrot now present and accounted for, there remains one Australian bird that has never been photographed: the buff-breasted buttonquail.",2023-12-28T20:58:35Z
buff,e-gaming-recent,after,"Despite its enigmatic status, the buff-breasted buttonquail (Turnix olivii) is not a sexy species.",2023-12-28T20:58:35Z
buff,e-gaming-recent,after,"“The problem with buff-breasted buttonquail is you’ve got to be mad to study them, and you’ve got to really love your buttonquails,” the group leader of the research and recovery of endangered species (Rares) team at the University of Queensland, James Watson, says.",2023-12-28T20:58:35Z
buff,e-gaming-recent,after,Webster admits he had trouble finding a supervisor who would take on his proposal to study the buff-breasted buttonquail for his doctorate until Watson put his hand up.,2023-12-28T20:58:35Z
buff,e-gaming-recent,after,"In late January 2007 I walked the hills south of Mount Molloy for three days, and on three occasions flushed what I thought to be buff-breasted buttonquail.",2023-12-28T20:58:35Z
buff,e-gaming-recent,after,Large buttonquail fitting accepted field descriptions of the buff-breasted would be startled from under their feet.,2023-12-28T20:58:35Z
buff,e-gaming-recent,after,"Webster was briefly sent to study a third species, chestnut-backed buttonquail, which replaces the buff-breasted buttonquail in the Top End and Kimberley.",2023-12-28T20:58:35Z
buff,e-gaming-recent,after,Which led to an even more troubling conclusion: that the buff-breasted buttonquail was in much deeper trouble than already believed.,2023-12-28T20:58:35Z
buff,e-gaming-recent,after,The buff-breasted buttonquail is still listed as endangered under the federal Environmental Protection and Biodiversity Conservation Act.,2023-12-28T20:58:35Z
buff,e-gaming-recent,after,"“People go out in that country, flush a big buttonquail under their feet, and think the only thing it can be is a buff-breasted buttonquail.",2023-12-28T20:58:35Z
buff,e-gaming-recent,after,Schodde believes buff-breasted buttonquail were never present on the northern Atherton Tablelands.,2023-12-28T20:58:35Z
buff,e-gaming-recent,after,"There is, he says, a biogeographical divide from Cooktown northwards, with its own grasses and eucalypts – principally Darwin stringybark – which the buff-breasted buttonquail prefers.",2023-12-28T20:58:35Z
buff,e-gaming-recent,after,"In theory, Schodde says, this means that buff-breasted and painted buttonquail should not exist alongside each other.",2023-12-28T20:58:35Z
buff,e-gaming-recent,after,"“We know so little about the buff-breasted buttonquail that it’s very hard to be definitive about habitat preferences,” says Stephen Garnett, co-author of The Action Plan for Australian Birds.",2023-12-28T20:58:35Z
buff,e-gaming-recent,after,"Regardless, Schodde says the earlier belief that a population of buff-breasted buttonquail seemed secure on the northern Atherton Tablelands had created complacency around the true status of the species.",2023-12-28T20:58:35Z
buff,e-gaming-recent,after,"Despite the passage of a century and his failure so far to find the bird, Webster remains confident the buff-breasted buttonquail still exists.",2023-12-28T20:58:35Z
buff,e-gaming-recent,after,"If the buff-breasted buttonquail is still out there, it’s extremely rare.",2023-12-28T20:58:35Z
buff,e-gaming-recent,after,"But University of Exeter scientists have found that when attacked, buff-tailed bumblebees have a dramatic but effective response: simply dropping out of the air “like a brick”, taking the hornet with them.",2023-10-05T09:00:08Z
buff,e-gaming-recent,after,It makes it too much of an effort for the hornet to stay engaged and achieve anything so they disengage and try to grab the next insect.” He said buff-tailed bumblebees (Bombus terrestris) nest underground so it may be that they feel more confident heading to the ground when they are attacked.,2023-10-05T09:00:08Z
buff,e-gaming-recent,after,"Scanning the flowers through binoculars, I spot a honeybee, then a buff-tailed bumblebee, with its narrow yellowish stripes – a thin one just behind the head and a wider band just beyond the gap between thorax and abdomen.",2025-04-07T04:31:10Z
