target_word,when,type,date,sentence
algorithm,before,formal,2018-08-19T18:50:23Z,"Bumrah is really bending his back to try and prompt a hurried stroke, which might explain why he overstepped with what would have been his final delivery."
algorithm,before,formal,2018-07-21T09:00:31Z,"And then the regular would say yes to one of those questions and it would prompt other questions and the call might go on pointlessly for half an hour when, really, all the regular wanted was a little sympathy about how overpriced cantaloupe is."
algorithm,after,formal,2020-11-11T06:00:30Z,"It is quite a social phenomenon.” QAnon is a group with coherent goals – ending child trafficking, or opposing Covid lockdowns – that prompt further questions."
algorithm,after,formal,2020-09-29T08:17:09Z,Here’s what happened today: The former chief medical officer Prof Brendan Murphy said a more “prompt” response could have prevented Victoria’s aged care deaths.
algorithm,after,formal,2020-09-29T08:17:09Z,"Murphy made the admission during a Senate inquiry, saying: “If the public health response had been more prompt, we might have avoided some of the scale of the outbreaks in Victoria”."
algorithm,after,formal,2020-09-29T08:17:09Z,"But I think if the public health response had been more prompt, we might have avoided some of the scale of the outbreaks in Victoria, and obviously we’re looking at, for example, if we had stood up the Victorian aged care response centre, early on, if we had been aware, if we’d had prior warning the public health response may have been compromised, that’s something that might have prevented some of the spread amongst facilities by responding more quickly."
algorithm,after,formal,2020-09-29T08:17:09Z,This must prompt real action from the Morrison government to fix the aged care regulator.
algorithm,after,formal,2020-09-29T05:00:09Z,"In both the US and Europe, where growth was already slowing, the prompt and full return of customers isn’t at all a sure thing."
algorithm,after,formal,2020-09-23T01:13:45Z,"3, coupled with the administration’s interference in federal science agencies, may prompt Americans to reject any vaccine as rushed and potentially tainted."
algorithm,after,formal,2020-09-06T08:00:18Z,And that was a genuine first – the only time I can recall when an algorithmic decision had been challenged in public protests that were powerful enough to prompt a government climbdown.
algorithm,after,formal,2020-09-06T08:00:18Z,"And the rationale is always the same: more efficient and prompt service; judgments by impartial algorithms rather than prejudiced, tired or fallible humans; value for money in the public sector; and so on."
algorithm,after,formal,2020-08-27T05:31:26Z,The findings prompt questions about whether more could have been done to better communicate with different communities.
algorithm,after,formal,2020-08-26T14:15:53Z,North American oil prices have sustained five-month-high levels as producers brace for hurricanes that could prompt the biggest weather-related shutdown for 15 years - as well as fears for the potential human costs.
