word,event,period,sentence,timestamp
ghost,tinder-ghost,after,The trigger warning at the start of this “headphone horror” reminds us that its ghost is not real.,2026-01-11T13:13:56Z
ghost,tinder-ghost,after,"All we have to do, if we become overwhelmed, is take off our headphones and the ghost will go away.",2026-01-11T13:13:56Z
ghost,tinder-ghost,after,"As a ghost story, it is full of tried and tested tropes – a house that goes bump in the night, a restless soul, creaking floorboards, moving shadows, thumps, knocks and blinking lights.",2026-01-11T13:13:56Z
ghost,tinder-ghost,after,"This is a good, old-fashioned ghost-train of a story.",2026-01-11T13:13:56Z
ghost,tinder-ghost,after,"When Thomas Frank glances along the touchline at Nuno Espírito Santo on Saturday afternoon, he will see more than the ghost of Tottenham managers past.",2026-01-16T22:30:09Z
ghost,tinder-ghost,after,"This is “ghost broking”, where criminals pose as legitimate insurers and sell fake or invalid insurance certificates to victims.",2025-11-16T07:00:24Z
ghost,tinder-ghost,after,"The number of ghost broking frauds has been on the rise, according to Aviva.",2025-11-16T07:00:24Z
ghost,tinder-ghost,after,"“Typically victims understand they have fallen victim to a ghost broker in the event they’re stopped by the police, they need to make a claim, [or] they’re in a car accident,” says Kat Cunningham, the underwriting fraud lead at Aviva.",2025-11-16T07:00:24Z
ghost,tinder-ghost,after,"If you do feel that you have been the victim of ghost broking, you can contact the Insurance Fraud Bureau’s CheatLine or by calling 0800 422 0421.",2025-11-16T07:00:24Z
ghost,tinder-ghost,after,"A Ghost Story for Christmas: The Room in the Tower 10pm, BBC Two Delightfully sinister fare for the night before Christmas; this creepy tale from Mark Gatiss is an adaptation of a short story by EF Benson.",2025-12-24T06:15:03Z
ghost,tinder-ghost,after,"Trump was apparently horrified at the sudden presence of the ghost of conservatism past, who had kept the outlandish bounder at arm’s length and whom Trump regarded warily if not nervously.",2025-11-02T14:00:08Z
ghost,tinder-ghost,after,"“I feel like a ghost,” Karki said in Nepali.",2026-02-15T11:00:20Z
ghost,tinder-ghost,after,"Three years since former president Joko Widodo launched the ambitious new capital, meant to replace polluted, congested and sinking Jakarta, some fear it is in danger of becoming a glorified ghost town.",2025-10-29T00:35:00Z
ghost,tinder-ghost,after,"Herdiansyah Hamzah, a constitutional law scholar from Mulawarman University in East Kalimantan, says the project was already “a ghost city” and the new “political capital” designation had “no meaning” in Indonesian law.",2025-10-29T00:35:00Z
ghost,tinder-ghost,after,People worry this could become a ghost city.” Construction worker Bejo has also seen the slowdown first-hand.,2025-10-29T00:35:00Z
ghost,tinder-ghost,after,English Heritage is not saying the mysterious figure was a ghost.,2025-10-24T04:00:33Z
ghost,tinder-ghost,after,“People can believe whatever they want about ghosts and ghost stories.,2025-10-24T04:00:33Z
ghost,tinder-ghost,after,"Then you get the Bram Stoker Dracula, which is even more sinister.” The new accounts also shine light on a tradition that goes back even further, Carter said: telling ghost stories together, providing “a way of understanding our relationship with the dead and the past”.",2025-10-24T04:00:33Z
ghost,tinder-ghost,after,"“We have a ghost book so that when people say we’ve just had a strange experience, we record it and sometimes people put drawings in.” She said a staff member recently heard unexplained piano music, and visitors had talked about getting a shove in the back when there was no one there.",2025-10-24T04:00:33Z
ghost,tinder-ghost,after,"The release of the ghost reports comes ahead of what will be a busy Halloween half-term at English Heritage sites, with ghost tours and other spooky events at properties across its portfolio.",2025-10-24T04:00:33Z
ghost,tinder-ghost,after,"Today, it is one of scores of ski resorts abandoned across France – part of a new landscape of “ghost stations”.",2025-12-27T06:48:56Z
ghost,tinder-ghost,after,Masson does not like the term “ghost resort” because it suggests total abandonment when what is happening in his area is more complicated.,2025-12-27T06:48:56Z
ghost,tinder-ghost,after,"The express Manchester-London 7am Avanti service will take passengers after all, after the rail regulator conceded defeat in the face of public outcry over a ruling that would have left it running as an empty “ghost train” each day.",2025-12-01T15:38:01Z
ghost,tinder-ghost,after,"Opened with £80m of investment, it has been a ghost terminal since Eurostar stopped trains there in 2020.",2025-11-04T17:50:11Z
ghost,tinder-ghost,after,"In Elisabeth Gunawan’s Prayers for a Hungry Ghost, for her theatre company Kiss Witness, it is folded in with another staple figure of storytelling: the double.",2025-10-30T14:18:31Z
ghost,tinder-ghost,after,"Big Sister (Gunawan) is the big problem, a discordant foil to her sister’s harmonious trills and turns, unsatisfactorily partnered with a second-rate doctor – a hollow puppet with a grotesque detachable head who sees her as second-best to her unattainable sister – and eventually mutating into a hungry ghost herself, with blackened mouth and distended belly, screeching her agonised poetry.",2025-10-30T14:18:31Z
ghost,tinder-ghost,after,The ghost of Epstein haunts Trump.,2025-07-19T09:00:18Z
ghost,tinder-ghost,after,"If Epstein were to appear to Trump at night as an apparition, his Marley’s ghost, he might warn him that there is no happy ending.",2025-07-19T09:00:18Z
ghost,tinder-ghost,after,"In fact, this is one of his best: a rich, rousing ghost story shrouded in trademark gothic gloom but executed with technical flair and a good deal of empathy.",2025-12-23T07:00:52Z
ghost,tinder-ghost,after,"There’s also a ghost in the mix: a pale-faced boy named Santi, whose death no one seems to want to discuss, and to whose empty bed Carlos is ominously assigned.",2025-12-23T07:00:52Z
ghost,tinder-ghost,after,"My horse in Ghost of Yōtei is called Mochizuki, which means “full moon” in archaic Japanese, and I swear she is the most unfortunate creature in all of northern Japan.",2025-10-02T10:16:32Z
ghost,tinder-ghost,after,"Ghost of Yōtei is the follow-up to American studio Sucker Punch’s reverent samurai action game Ghost of Tsushima, from 2020.",2025-10-02T10:16:32Z
ghost,tinder-ghost,after,"I found Ghost of Tsushima to be extraordinarily beautiful, but also shallow and oddly dour.",2025-10-02T10:16:32Z
ghost,tinder-ghost,after,The fighting in Ghost of Yōtei is deliciously brutal.,2025-10-02T10:16:32Z
ghost,tinder-ghost,after,"Alongside this year’s Assassin’s Creed Shadows (also set in historical Japan), Ghost of Yōtei is the most graphically beautiful game I have ever seen.",2025-10-02T10:16:32Z
ghost,tinder-ghost,after,If anything Ghost of Tsushima was held back by its slavish devotion to a sombre tone that was at odds with the game’s very high body count.,2025-10-02T10:16:32Z
ghost,tinder-ghost,after,"As Atsu’s legend grows, the people of Ezo start leaving offerings for the vengeful onryō (bloodthirsty ghost) tearing through the land’s oppressors.",2025-10-02T10:16:32Z
ghost,tinder-ghost,after,"• Ghost of Yōtei is out now, £69.99",2025-10-02T10:16:32Z
ghost,tinder-ghost,after,"So-called “ghost store” operators are taking advantage of Christmas and Black Friday to lure shoppers to their websites, as the consumer regulator warns Australians that artificial intelligence is making it even harder to identify deceptive retailers.",2025-11-26T14:00:29Z
ghost,tinder-ghost,after,"The Australian Competition and Consumer Commission (ACCC) considers ghost stores – which falsely market themselves as local brands – to be “scam adjacent”, as some send imitation products from overseas and others fail to deliver anything at all.",2025-11-26T14:00:29Z
ghost,tinder-ghost,after,"Guardian Australia has identified several new examples of ghost stores claiming to offer Black Friday discounts on a variety of products, including jewellery, makeup and children’s toys.",2025-11-26T14:00:29Z
ghost,tinder-ghost,after,"Even though the Facebook owner, Meta, and the e-commerce platform Shopify have been aware of the broader problem for months, ghost stores not only continue to be set up and run fictitious advertising but are escalating their methods.",2025-11-26T14:00:29Z
ghost,tinder-ghost,after,"Meta declined to comment on specific websites shown to it by Guardian Australia, but said ghost stores and fake ads were an “adversarial space where sophisticated groups often change tactics to stay ahead of detection”.",2025-11-26T14:00:29Z
ghost,tinder-ghost,after,The lead character in Ghost of Yōtei is a wandering sellsword from a lowly family.,2025-09-03T09:00:18Z
ghost,tinder-ghost,after,"As the game’s co-director Nate Fox puts it, “Atsu is not somebody who walks in to a room and people pay respect to.” Yōtei’s predecessor, Sucker Punch Productions’ 2020 sprawling open-world game Ghost of Tsushima, is the story of a samurai, Jin Sakai, who shreds his honour to defend his homeland.",2025-09-03T09:00:18Z
ghost,tinder-ghost,after,"Jin can’t repel the Mongols attacking Tsushima as a noble warrior, but as “the Ghost”, a fear-inspiring legend willing to use any dirty tactic to gain the upper hand, he can.",2025-09-03T09:00:18Z
ghost,tinder-ghost,after,"If Ghost of Tsushima is about a man grappling with the trade of one kind of power for another, Yōtei sees Atsu seize the only power she can with both hands.",2025-09-03T09:00:18Z
ghost,tinder-ghost,after,"While the resulting game is similar to Tsushima – in Ghost of Yōtei you also travel across a romanticised open-world recreation of feudal Japan on horseback, carving up your enemies with precise strokes of your katana – the shift from high-class samurai to vagrant sellsword shows itself in unexpected ways.",2025-09-03T09:00:18Z
ghost,tinder-ghost,after,"That means removing Ghost of Tsushima’s contemplative moments, such as those during which Jin would meditate on his surroundings and transform his struggle into haiku.",2025-09-03T09:00:18Z
ghost,tinder-ghost,after,"“It’s a convenience,” Connell says, “and a more diegetic experience.” In this way, Yōtei is set to be both an evolution of Ghost of Tsushima and an inversion.",2025-09-03T09:00:18Z
ghost,tinder-ghost,after,"• Ghost of Yōtei is released on PlayStation 5, on 2 October",2025-09-03T09:00:18Z
ghost,tinder-ghost,after,"Still, nobody is completely untouchable; could the ghost of Epstein be the thing that finally topples King Trump from his throne?",2025-07-26T13:00:00Z
ghost,tinder-ghost,after,"There is a twinkling irony to the setup of Tim Foley’s ghost story: an out of work actor is enlisted to play the role of a ghost for a week, only to become haunted himself.",2026-02-06T16:09:48Z
ghost,tinder-ghost,after,"Of course, Joe gradually begins to wonder if he is the only ghost walking through the woodlands surrounding Paragon Hall, but this drama by touring company ThickSkin does not go the way you think it may.",2026-02-06T16:09:48Z
ghost,tinder-ghost,after,"It’s a deeply pensive ghost story with a difference, following Jack (Dacre Montgomery), a man who learns about his mother, Elizabeth – who abandoned him as a child – via unconventional means.",2025-09-10T15:00:08Z
ghost,tinder-ghost,after,"“We just want to see a ghost.” “Yeah,” agrees Daisy May, peering at us over her brother’s shoulder.",2025-10-25T06:00:28Z
ghost,tinder-ghost,after,“We just want to see a ghost.” As do we.,2025-10-25T06:00:28Z
ghost,tinder-ghost,after,"Alas, years of low-resolution ITV2 series in which crestfallen celebrity ghost-hunters shout “I think it was just the wind” in abandoned branches of Wetherspoons have prepared us for disappointment.",2025-10-25T06:00:28Z
ghost,tinder-ghost,after,"In 2024, 40% of companies posted listings for “ghost jobs”, nonexistent positions advertised to create the illusion that the company is doing well enough to take on new employees.",2025-12-17T11:00:32Z
ghost,tinder-ghost,after,It is a truth universally acknowledged that a family gathered around a roaring yuletide screen must be in want of a ghost story.,2025-12-24T22:30:22Z
ghost,tinder-ghost,after,"Since 1971, therefore (or a couple of years earlier, depending on whether you count the precursor Whistle and I’ll Come to You, directed by Jonathan Miller – and who am I to tell you nay?), the BBC has sporadically provided one in the form of the Ghost Story for Christmas series.",2025-12-24T22:30:22Z
ghost,tinder-ghost,after,"Benson’s twist, plus Gatiss’s further turn of the screw (although we should save that description until he gets to Henry James), round off the atmospheric half-hour nicely – although you could argue that we are now entering horror rather than ghost story territory; if you are gathered for a family viewing, it may cause the youngest members to recoil.",2025-12-24T22:30:22Z
ghost,tinder-ghost,after,"Once again, like an inoffensive second cousin round the Christmas table, you wouldn’t miss the Gatiss ghost story if it wasn’t there, but it’s always nice to see it again.",2025-12-24T22:30:22Z
ghost,tinder-ghost,after,• The Room in the Tower: A Ghost Story for Christmas aired on BBC One and is on iPlayer now.,2025-12-24T22:30:22Z
ghost,tinder-ghost,after,"An earlier version said that the BBC’s A Ghost Story for Christmas series began in 1968, or a couple of years earlier if Jonathan Miller’s precursor, Whistle and I’ll Come to You, is counted.",2025-12-24T22:30:22Z
ghost,tinder-ghost,after,Miller’s adaptation aired in 1968; the first episode in the series A Ghost Story for Christmas was in 1971.,2025-12-24T22:30:22Z
ghost,tinder-ghost,after,The Australian government has committed $1.7bn to acquire a fleet of “dozens” – the exact number is classified – of Ghost Shark submarines for the Royal Australian Navy.,2025-09-10T04:39:29Z
ghost,tinder-ghost,after,What is a Ghost Shark submarine?,2025-09-10T04:39:29Z
ghost,tinder-ghost,after,"A Ghost Shark is an extra-large autonomous undersea vehicle (XL-AUV), essentially an uncrewed submarine.",2025-09-10T04:39:29Z
ghost,tinder-ghost,after,"The government says the Ghost Shark will provide the Royal Australian Navy with a “cost-effective, stealthy, long-range, trusted undersea capability that can conduct persistent and disruptive intelligence, surveillance, reconnaissance and strike” operations.",2025-09-10T04:39:29Z
ghost,tinder-ghost,after,How many Ghost Sharks is Australia getting and what can they do?,2025-09-10T04:39:29Z
ghost,tinder-ghost,after,"The government is being deliberately opaque about how many it will buy, how they will be deployed and the Ghost Shark’s capabilities.",2025-09-10T04:39:29Z
ghost,tinder-ghost,after,"Ministers are only saying the navy will have “dozens”, and that the Ghost Sharks have a “very long range”.",2025-09-10T04:39:29Z
