target_word,when,type,date,sentence
model,before,formal,2021-12-31T20:05:32Z,"PA Media quotes him saying: The hubs are there to have super-surge capacity on top of that, so we really would be in an emergency if we were having to use them and therefore we would have to use an emergency staffing model, because we are very clear in the NHS: we don’t have the staff, the existing staff, to be able to staff these beds, so we would have to go into an emergency mode."
model,before,formal,2021-12-31T19:41:51Z,"Ross, a former model from Poland who moved to Florida in 2002, was hired to work at the financier’s mansion."
model,before,formal,2021-12-31T19:00:27Z,The internal email also explained the hospital was “changing our model of care” to focus on emergency department presentations and ICU patients in the first instance.
model,before,formal,2021-12-31T19:00:27Z,Economics writer George Megalogenis wrote that the “wicked genius” of Covid was to seek out where the holes and gaps were in our open economic model.
model,before,formal,2021-12-31T18:30:26Z,"The mayoral model is likely to be promoted beyond the city regions, and Cameron-era local enterprise partnerships may be targeted for replacement by more democratically accountable bodies."
model,before,formal,2021-12-31T14:18:46Z,"The bond repayment burden threatens to worsen the crisis for developers, who have ridden a 30-year boom in the Chinese housing market on a business model based on cheap credit and never-ending demand from the country’s huge, upwardly mobile population."
model,before,formal,2021-12-31T12:00:22Z,The stories of prosecco wine and West Virginia coal are classic examples of a regional “growth model”.
model,before,formal,2021-12-31T12:00:22Z,"When that is challenged, those who benefit from the model do not sit idly by."
model,before,formal,2021-12-31T12:00:22Z,Last year a sociologist called Stefano Ponte unpacked the growth model behind prosecco.
model,before,formal,2021-12-31T12:00:22Z,"In short, those who benefited from the growth model rose to defend it."
model,before,formal,2021-12-31T12:00:22Z,"But those who benefited from the growth model again leapt to defend it, this time by painting the industry as an example of small-scale, pastoral sustainability – part of a high-end wine-making tradition going back centuries."
model,before,formal,2021-12-31T12:00:22Z,The result was the development of an agribusiness growth model.
model,before,formal,2021-12-31T12:00:22Z,"Because his job is to defend the growth model against challengers, just as it was for the folks in Treviso."
model,before,formal,2021-12-31T12:00:22Z,"Now add to this the fact that West Virginia has the lowest labour force participation rate in the US and huge healthcare issues stemming from chronic illness and opioid abuse, and you end up with a fiscal nightmare kept afloat by current growth model."
model,before,formal,2021-12-31T12:00:22Z,Few in Treviso are keen to dismantle the prosecco growth model.
model,before,formal,2021-12-31T12:00:19Z,"She never got the main parts in plays at her Oxfordshire school – “I’d always audition and it would be: ‘OK, you can be leopard No 2, no lines’” – and so instead she became a model."
model,before,formal,2021-12-31T12:00:18Z,"My Body Emily Ratajkowski, Quercus, 5hr, 16min The actor and model narrates her book of autobiographical essays reflecting on beauty, the male gaze and the commodification of her body."
model,before,formal,2021-12-31T11:45:18Z,"Mitski – Laurel Hell Four years after the brilliant Be the Cowboy, the Japanese-American singer-songwriter returns with an album which, she says, explores the grey area she occupies, not a “role model” but also “not a bad person”."
model,before,formal,2021-12-31T10:00:16Z,"A final rule being issued Monday would raise mileage standards starting in the 2023 model year, reaching a projected industry-wide target of 40 miles a gallon by 2026."
model,before,formal,2021-12-31T08:22:06Z,Aged and Community Services Australia is calling on the federal government to model how the new testing requirements will impact the aged care workforce.
model,before,formal,2021-12-30T22:07:10Z,"England in the 1970s followed the Soviet model with Jon Speelman, Nigel Short, Michael Adams and later Luke McShane, Gawain Jones and David Howell."
model,before,formal,2021-12-30T17:00:02Z,"A model of dignity and perseverance in his fight for justice for Nazanin, he has shown [his daughter] Gabriella and the whole of our society what it truly means to be a loving father and husband."
model,before,formal,2021-12-30T17:00:02Z,"Beyond his management of the national side to its best performance in decades, he has been a positive role model in supporting his players and fostering a culture of respect in football."
