word,event,register,period,sentence,timestamp
tag,social-media,formal,before,"The service is backed by some well-lnown characters from London's start-up scene including Saul and Robin Klein at TAG - the guys behind Stardoll, Lovefilm and Moo, amongst others - along with Last.fm's first investor Stefan Glänzer and ASI, the investment firm started by Skype's founding engineers.",2008-06-18T17:49:07Z
tag,social-media,formal,before,"Here's the next part: if they need to fill in details about an arrest or search, then they call up the film, zip through it to the relevant bit, and tag that to the document they're filling in – which of course, in our newly minted police world, will be on a computer.",2008-09-26T12:16:17Z
tag,social-media,formal,before,"The £199 price tag didn't bother him - the Reader ebook would be ""ever so handy"" for all the travelling he has to do.",2008-09-04T09:23:00Z
tag,social-media,formal,before,"Or for those watching the pennies, there's the Rolex watch with the £3,700 price tag on the Schoolstrader site, and a yacht charter, a mere snip for Russian oil oligarchs at £17,000 a week.",2008-11-18T00:01:00Z
tag,social-media,formal,before,The intro or article abstract Many publications will use the first 200 or so characters of the opening paragraph to populate an article's description tag.,2007-11-19T07:44:17Z
tag,social-media,formal,before,The description tag is what you see in a search result underneath the link-blue headline.,2007-11-19T07:44:17Z
tag,social-media,formal,before,"A well-written description tag with full names, locations and events can increase search visibility as well as click-through rates.",2007-11-19T07:44:17Z
tag,social-media,formal,before,"The one-time England international was jailed on May 20 but is almost eligible for parole, to be released with an electronic tag, and the indications from St James' Park are that Newcastle will give him another chance, a decision that has outraged Dabo.",2008-07-02T23:01:00Z
tag,social-media,formal,before,"The film is advertised with the tag 'Based on True Rumours' and after every take, the young director shouts out: 'Super!' or: 'Mindblowing!' and sometimes both.",2008-01-20T23:45:45Z
tag,social-media,formal,before,County is a colonial tag.,2008-11-30T00:01:00Z
tag,social-media,formal,before,"Sticky (aka Post-it) notes help us manage our to-do lists, tag our objects and documents and capture short reminders or information that we may need in the near future.",2008-05-02T14:59:40Z
tag,social-media,formal,before,"It has since become the tag for a legion of regulation breakers and minor trespassers, its punishments visited upon defaults, failures to make declarations, forms unfilled-in, motoring offences - the acts of non-criminals.",2008-08-11T09:30:00Z
tag,social-media,formal,before,"In the remote town of Barrow, Sheriff Eben Oleson (Josh Hartnett) and his estranged wife and deputy sheriff Stella (Melissa George) lead a rag-tag group of locals through the titular days of darkness, attempting to outlive the feeding frenzy of a ravenous group of bloodsuckers.",2008-04-12T23:11:53Z
tag,social-media,formal,before,"The standfirst on Roger Cox's full page roundup of the Stand's shows reads, ""Edinburgh's year-round stand-up venue is bigger and better than ever."" Cox goes on to explain why: ""Defiantly not associated with the latest marketing initiative in town, despite having been asked to tag along – it doesn't make any bold claims for itself in August, it simply puts on more acts and orders more beer."" A recipe for success you would have thought, but you wouldn't know it by following the reviewers, many of whom seem to struggle to get out of the Pleasance courtyard.",2008-08-11T12:22:02Z
tag,social-media,formal,before,"The Mexican director promises that this new movie will not be a ""tag-on"" or a ""filler"".",2008-04-29T11:36:07Z
tag,social-media,formal,before,"Photograph: Bedzed/Peabody Trust The ""eco"" tag seems to be fast losing its lustre.",2008-02-12T09:45:00Z
tag,social-media,formal,before,"This way we can make sure all new housing - not just that built within the boundaries of a so-called ecotown - can justifiably lay claim to the much-abused ""eco"" tag.",2008-02-12T09:45:00Z
tag,social-media,formal,before,But he also expected that the government would show compassion and release him on a tag when a decent amount of time had passed.,2008-10-02T18:00:00Z
tag,social-media,formal,before,"Both men have been released on bail with stringent conditions, such as wearing an electronic tag and obeying curfews.",2008-03-06T17:14:18Z
tag,social-media,formal,before,"Home Office officials have considered averting a Commons defeat on 42-day detention by suggesting judges could be empowered to order the release of those being held for more than the current limit of 28 days under control order or a tag, even though they would remain technically subject to a 42-day detention order.",2008-04-27T23:01:39Z
tag,social-media,formal,before,"First, save all your files with a unique tag such as john-smithwxyz so, in theory, someone in 50 years can access all the relevant records with a single search term.",2008-08-27T23:01:00Z
tag,social-media,formal,before,The £300m price tag represents a 50% increase on the £200m that was paid by BSkyB and Five for the ECB's domestic TV rights from 2006 until the end of the Ashes series next year.,2008-08-05T11:32:30Z
tag,social-media,formal,before,"No computers or mobile telephones are to be allowed, he must wear an electronic tag at all times, and his home may be fitted with ""such equipment as may be considered necessary to ensure compliance"".",2008-07-03T23:01:00Z
tag,social-media,formal,before,"At its press conference Nokia announced the N96, the successor to its N95 smartphone which has won numerous industry awards, with shipments starting in the third quarter of the year and a price tag of €550 (£410).",2008-02-11T14:23:41Z
tag,social-media,formal,before,"It also unveiled the N78, which will start shipping in the second quarter with a price tag of €350, that has an FM transmitter built-in, allowing users to stream music from their phone to their car stereo.",2008-02-11T14:23:41Z
tag,social-media,formal,before,"(Recently, another genre boxing movie, Million Dollar Baby, could have used the tag line, ""Clint Eastwood cries!"").",2008-09-11T23:08:15Z
tag,social-media,formal,before,"However, this comes with a hefty price tag and needs careful number-crunching.",2008-04-13T10:35:14Z
tag,social-media,formal,before,"A British comedian's tag line used to be ""It's the way you tell 'em,"" and this is true of George Bush's engagement with the United Nations.",2008-11-06T18:00:00Z
tag,social-media,formal,before,"It remains completely unaccountable to cost, but it's target audience hardly needs to reach for the price tag.",2008-07-03T12:50:00Z
tag,social-media,formal,before,"King, who is 42, had originally been sentenced to a prison term for robbery, but in February, having served most of his term and been deemed of no risk to the public, he was released early on condition that he wore an electronic tag around his ankle.",2006-08-30T23:07:33Z
tag,social-media,formal,before,"Then, with just three weeks left before his tag was due to be removed, he cut it off.",2006-08-30T23:07:33Z
tag,social-media,formal,before,"According to the EPA, people shouldn't think of the number as a price tag on a life.",2008-07-11T18:20:49Z
tag,social-media,formal,before,"Everyone in an office gets a ""tag"" - your character has been defined now and the easiest way to show you have a sense of humour would be to play on your nickname.",2008-06-08T23:01:00Z
tag,social-media,formal,before,"The price tag for these new machines, according to the GAO, could range from $2.8-3.8bn (pdf).",2008-12-08T15:00:00Z
tag,social-media,formal,before,But it remains to be seen whether consumers can be persuaded to consider a product's carbon footprint as well as its price tag.,2008-08-20T12:59:10Z
tag,social-media,formal,before,"Like Djokovic he is still learning and maturing, and all the signs are in place that here is a player who is not about to be damned with the ""brave British loser"" tag.",2008-09-07T23:01:00Z
tag,social-media,formal,before,"Spotting our stories in the Daily Mail - usually with the quotes lifted wholesale - and in one case even given a ""Mail exclusive"" tag.",2008-08-01T23:01:00Z
tag,social-media,formal,before,"All night Marta Vieira De Silva, who has been hailed as 'Pele in a skirt' by the man himself, had wriggled away from her opponents like an urchin playing tag, leaving them bamboozled but without snatching away their Olympic title.",2008-08-21T18:02:48Z
tag,social-media,formal,before,"The ex-minister George Walden has suggested that, when considering an issue, Cameron asks himself: ""What would Diana have done?"" If he is losing friends on the right, Cameron is making them among floating voters - who like the sound of fairness and social justice, especially when it seems to be coming without a price tag - and in some unlikely corners of the left.",2008-09-09T23:01:00Z
tag,social-media,formal,before,"The sleeveless outfit was snapped up by an unnamed European bidder at Christie's in New York after fetching a price far in excess of its estimated price tag of $30,000.",2007-05-31T10:11:57Z
tag,social-media,formal,before,"""Danny is plummeting to his doom."" Click here to tag him in a photo.",2008-10-12T23:01:00Z
tag,social-media,formal,before,"If you're a woman releasing a book, then, you should apparently expect pale colours, swirly writing and an insipid tag line - whether your story is a moving story about grief, a blog-turned-bestseller about life in Paris or a potential chick lit classic.",2008-07-29T10:40:32Z
tag,social-media,formal,before,Probably not Andrei Arshavin after Zenit St Petersburg slapped a £20m price-tag on him.,2008-07-08T08:21:44Z
tag,social-media,formal,before,Many movies sidestep the DTV tag by playing in as few cinemas as possible (occasionally even just the one).,2008-10-10T14:52:57Z
tag,social-media,formal,before,"Kolya Spiridonov plays Vanya, a sweet-faced little 10-year-old in a squalid Russian orphanage, whose kids are unofficially offered for adoption with a price-tag to childless couples from the prosperous west.",2008-01-25T23:54:39Z
