word,event,period,sentence,timestamp
demure,tiktok-demure,after,"After brat summer, we are now in demure autumn.",2024-10-11T09:01:44Z
demure,tiktok-demure,after,Summer’s vibe was brat; autumn’s is demure.,2024-10-11T09:01:44Z
demure,tiktok-demure,after,"And when I heard that the new word of the season was demure – originating from TikToker Jools Lebron showing off her “very demure, very mindful” makeup – I felt, frankly, short-changed, less on my own account than on that of those still young enough not to get a two-day hangover from three glasses of wine.",2024-10-11T09:01:44Z
demure,tiktok-demure,after,"This is because, as a word, demure gives me the ick.",2024-10-11T09:01:44Z
demure,tiktok-demure,after,"But when I noticed a £35 M&amp;S handbag going viral for being “very demure”, I realised that by taking “demure” literally, I was getting it all wrong.",2024-10-11T09:01:44Z
demure,tiktok-demure,after,Because how can a handbag be demure?,2024-10-11T09:01:44Z
demure,tiktok-demure,after,"What matters here is how demure is defined by TikTok, not how demure is defined by the OED.",2024-10-11T09:01:44Z
demure,tiktok-demure,after,"And the gist of demure, in the modern sense rather than the finishing-school sense, is about dialling down the chaos, practising a little self-care.",2024-10-11T09:01:44Z
demure,tiktok-demure,after,Which is how a handbag that snaps safely shut and tucks neatly under your arm is demure – because it looks low-key chic and you won’t lose your phone.,2024-10-11T09:01:44Z
demure,tiktok-demure,after,At this point I realised: I could get into demure.,2024-10-11T09:01:44Z
demure,tiktok-demure,after,"Demure is about 20% ironic, in that it is slightly making fun of the “clean girl” aesthetic that has buzzed around Instagram for years.",2024-10-11T09:01:44Z
demure,tiktok-demure,after,"Where the “clean girl” takes her skincare regime seriously, the “demure” hashtag comes with a wink to camera.",2024-10-11T09:01:44Z
demure,tiktok-demure,after,Demure is a cotton shirt tucked into an above-the-knee skirt (demure isn’t to be confused with modest dressing).,2024-10-11T09:01:44Z
demure,tiktok-demure,after,Demure is a low-heeled shoe you can dance in rather than walking home carrying the spike heels that give you blisters.,2024-10-11T09:01:44Z
demure,tiktok-demure,after,"Australians were also being very mindful, with “demure” topping the list of word definition searches in response to a viral meme on TikTok by the creator Jools Lebron.",2024-12-09T19:00:20Z
demure,tiktok-demure,after,"Now, it’s all about being demure.",2024-08-16T10:00:14Z
demure,tiktok-demure,after,"At least, that’s according to Jools Lebron, the content creator behind the catchphrase, who advises her followers on how to come off as “very demure, very mindful” in various life situations.",2024-08-16T10:00:14Z
demure,tiktok-demure,after,"Not demure.” For a week, Lebron has advised her 1.2 million followers on how to stay demure in various stressful situations, such as traveling with family (show up to the airport “very early, very on time, very considerate, very demure”) or picking up an ID left at the bar (don’t stay and drink, rather take your ID and leave – “very cutesy, very demure”).",2024-08-16T10:00:14Z
demure,tiktok-demure,after,"One can be demure at the Las Vegas strip, Lebron says, by “showing a little chee chee, not too much”.",2024-08-16T10:00:14Z
demure,tiktok-demure,after,"(Think Hailey Bieber in an understated but expensive workout set, toting a $20 Erewhon smoothie.) In one clip, Lebron asserts that one can even stay demure during a hangover trip to CVS.",2024-08-16T10:00:14Z
demure,tiktok-demure,after,"Like all good TikTok moments, “demure” caught the attention of corporations such as CVS, Elf Cosmetics, and Delta, brands that have all come to Lebron’s comments section to approve of her PSAs.",2024-08-16T10:00:14Z
demure,tiktok-demure,after,"(“The art of ✨demure✨ travel,” the Delta account commented on her TikTok about traveling with family.) Other users have jumped on the bandwagon as well, explaining how to be demure while eating pizza (“the pizza comes to me,” one creator says while taking a small bite) or getting engaged (“I didn’t make a big fuss,” a woman says while holding up her new diamond ring).",2024-08-16T10:00:14Z
demure,tiktok-demure,after,"The definition of demure, of course, is “reserved, modest, shy”.",2024-08-16T10:00:14Z
demure,tiktok-demure,after,"Jess Zafarris, an etymologist and author of Once Upon a Word: A Word-Origin Dictionary for Kids, says the Latin root for demure, maturus, means “ripe” or “mature.” “It reminds me of the root for the word precocious, ‘coquere’, which means pre-cooked or ripened, and tends to describe children who are better behaved, more disciplined, and perform better within the constraints of a classroom,” Zafarris said.",2024-08-16T10:00:14Z
demure,tiktok-demure,after,"“Demure gets applied to women in the same way: a woman who is well-behaved, doesn’t stand out, and is more reserved, composed, and serious.” Zafarris also noted that theological writings of the 15th and 16th centuries use the term “demure” to describe someone who is a hypocrite, or “hiding a darker version of themselves”.",2024-08-16T10:00:14Z
demure,tiktok-demure,after,"“I love the way that demure is being used on TikTok now, because users are sort of putting on this serious mask, but they’re poking fun at it at the same time, so it retains the word’s definition as sort of a facade,” Zafarris added.",2024-08-16T10:00:14Z
demure,tiktok-demure,after,"Demure may be a far cry from the all-out bacchanalia of brat summer, but fall is just around the corner.",2024-08-16T10:00:14Z
demure,tiktok-demure,after,"What could be more demure, mindful, or modest than a comfortable cashmere sweater?",2024-08-16T10:00:14Z
demure,tiktok-demure,after,The creator behind TikTok’s “demure” catchphrase has become more mindful of US trademark law.,2024-08-27T19:23:13Z
demure,tiktok-demure,after,"Jools Lebron, an influencer with over 2 million followers on the app, became an overnight sensation after advising on how to be “demure”, “mindful” and “cutesy” at work and in life.",2024-08-27T19:23:13Z
demure,tiktok-demure,after,"According to TMZ, a man in Washington state named Jefferson Bates filed to trademark “Very Demure ..",2024-08-27T19:23:13Z
demure,tiktok-demure,after,"(Neither Lebron nor Bates responded to a request to comment.) Raluca Pop, who founded the social media platform Hive Social as an alternative to Elon Musk’s X, also came forward saying she filed an application for “Very Demure Very Cutesy” in California, as a means of solidarity with Lebron.",2024-08-27T19:23:13Z
demure,tiktok-demure,after,And trademark lawyers are confident Lebron can both fight Bates’ claim to “Very Demure ..,2024-08-27T19:23:13Z
demure,tiktok-demure,after,"Lebron, who is Puerto Rican, is making the most of her newfound fame, posting “demure” sponsored content with the haircare brand K18, teasing a potential collaboration with Netflix, and appearing on the Jimmy Kimmel show with RuPaul as guest host.",2024-08-27T19:23:13Z
demure,tiktok-demure,after,"Barbecue and ribs are maybe not the easiest, most demure food to eat on a first date – but on the whole, yeah.",2024-10-05T05:00:14Z
demure,tiktok-demure,after,"In that moment, I didn’t have to be demure, delicate or diplomatic.",2025-06-18T05:55:04Z
demure,tiktok-demure,after,"Having manhandled the straitlaced manager Mr Spencer (Colin Gordon) and his demure secretary Miss Taylor (Ann Lynn) down into the basement to get them to open up the strongroom with all the cash, they lock the two employees in there and make their getaway.",2026-01-28T07:00:06Z
demure,tiktok-demure,after,"As ill fortune would have it, the lucky lady turns out to be Mina (also Bleu, of course), the demure fiancee of Dracula’s wimpish land agent, Jonathan Harker (Ewens Abid), who has recently been to the count’s castle to discuss his property portfolio and whose miniature portrait of the winsome Mina caught the count’s hooded eye.",2025-11-25T09:00:28Z
demure,tiktok-demure,after,"But for as long as I can remember, new mum style meant meh blazers with silk scarves, like the mother in Home Alone or, more recently, the linen shirts, chinos and demure polka dots of Rose Bryne’s character in Platonic, who is brilliantly not demure.",2025-11-14T07:00:24Z
demure,tiktok-demure,after,"For the encore, she suddenly sheds the floor-length dresses and demure standards for a Pussycat Dolls medley performed in a lace jumpsuit with full choreography.",2025-10-07T12:33:52Z
demure,tiktok-demure,after,Aimee Lou Wood in demure Vivienne Westwood looked straight from the Gilded Age.,2026-01-12T06:45:17Z
demure,tiktok-demure,after,"movies: a buoyant, funny, sunshine-y comedy with a wonderful role for a mature female lead, broaching the subject of female sexuality that was not governed by the usual male ideas about demure youth.",2025-11-06T23:31:06Z
demure,tiktok-demure,after,"Playing a figure of authoritarian power, actor David Calvitto barks out commands: he wants his women to be pretty, demure, sluttish, compliant, hard-working, domestic, worldly, Madonna and whore.",2025-08-15T13:30:33Z
demure,tiktok-demure,after,"It was a smaller, more demure version of that insane Little Mix accent challenge video from many years ago.",2026-01-12T15:43:49Z
demure,tiktok-demure,after,"It’s no surprise then that she might use The Shite Feminist to settle some scores – even if the show overdoes the gender essentialism in its stereotype of needy, inadequate men requiring their women to be weak and demure.",2025-08-18T21:00:01Z
demure,tiktok-demure,after,"Unlike their Instagrammable British counterparts, French phone boxes are usually painted in a demure grey and blend seamlessly with their surroundings.",2025-06-23T06:00:00Z
demure,tiktok-demure,after,"But not when that condition zaps and jabs and stabs at the genre itself, piercing the carapace of sentimentality while surreally commenting on the form and on the demure niceties of polite society, in which we all keep our thoughts to ourselves.",2025-10-09T06:00:17Z
demure,tiktok-demure,after,"Some wore Victoria Beckham, others wore Loewe, everyone looked demure and sober and matchy-matchy, what a celebrity astrologist might call “a united front”.",2026-01-29T17:00:52Z
demure,tiktok-demure,after,"A neat handbag, a demure silhouette, a lick of lace to dress things up?",2025-10-08T13:00:31Z
demure,tiktok-demure,after,"Courtney Wright, a year 7 pupil, donned a union flag dress similar to – though more demure than – one worn by the Spice Girl Geri Halliwell in 1997.",2025-07-15T16:58:16Z
demure,tiktok-demure,after,"Ruiz, who has been leading her own company for 22 years, is more in the latter camp, dressed in demure version of classic flamenco style: the long ruffled bata de cola skirt, the mantón shawl, Cordobés hat, fan and castanets.",2025-06-04T14:54:18Z
demure,tiktok-demure,after,"Bardot was the country’s most sensational cultural export; she was in effect the French Beatles, a liberated, deliciously shameless screen siren who made male American moviegoers gulp and goggle with desire in that puritan land where sex on screen was still not commonplace, and in which sexiness had to be presented in a demure solvent of comedy.",2025-12-28T09:57:03Z
demure,tiktok-demure,after,"Portraying Barbe-Nicole Ponsardin Clicquot (Haley Bennett) in her climb from demure young lover to patriarchy-defying innovator who finally rejects remarriage as a means of securing legal autonomy, it owes a debt to Shekhar Kapur’s 1998 film Elizabeth.",2024-08-20T10:00:10Z
demure,tiktok-demure,after,"The dictionary company selected “demure” as the word of 2024, after the term was popularized by TikToker Jools Lebron.",2024-11-27T15:32:00Z
demure,tiktok-demure,after,"“I feel like demure being named word of the year is some kind of dumb reaction to Trump winning the election,” said Kimmel.",2024-11-27T15:32:00Z
demure,tiktok-demure,after,“This was not a demure year.,2024-11-27T15:32:00Z
demure,tiktok-demure,after,"Let’s be honest, the word of this year was hawk tuah, right?” In other un-demure news, Trump announced on Truth Social that he is planning to issue an executive order that would apply a 25% tax on all products imported from Mexico and Canada and a 10% additional tariff on products from China.",2024-11-27T15:32:00Z
demure,tiktok-demure,after,"After a suitably demure start, López Moreno brought contrasts of mood and tone to Marguerite’s ballad, followed by a pinpoint bright Jewel Song before impressively dominating the tragic (though simultaneously banal) final trio.",2025-05-25T10:52:58Z
demure,tiktok-demure,after,"Knowing that wages won’t build wealth, gen Z pursues creative income streams: from the demure (subleasing parts of their apartments) to the extreme (OnlyFans).",2025-10-03T10:00:33Z
demure,tiktok-demure,after,"The fact that this engagement post comes seemingly out of nowhere, with little previous fanfare, comes off as relatively demure.",2025-08-26T20:59:29Z
demure,tiktok-demure,after,"Instead, it gives off a light and demure reddish tint akin to Burt’s Bees tinted lip balm, plus lots of hydration thanks to California Natural’s organic blend of aloe, coconut oil and beeswax.",2026-02-10T20:15:56Z
