word,event,period,sentence,timestamp
omega,fanfic,after,"Women should ensure they are getting enough omega fatty acids in their diets according to researchers, who found unusually low levels of the compounds in female patients with Alzheimer’s disease.",2025-08-20T11:00:14Z
omega,fanfic,after,"The advice follows an analysis of blood samples from Alzheimer’s patients and healthy individuals, which revealed levels of unsaturated fats, such as those containing omega fatty acids, were up to 20% lower in women with the disease.",2025-08-20T11:00:14Z
omega,fanfic,after,"Legido-Quigley said that if changes in the liver or metabolism were responsible, less omega fatty acids would probably be reaching women’s brains.",2025-08-20T11:00:14Z
omega,fanfic,after,"Diets rich in omega-3 fatty acids, such as the Mediterranean diet, have long been linked to health benefits for the heart, brain and other organs.",2025-08-20T11:00:14Z
omega,fanfic,after,One study from 2022 found that middle-aged people with higher blood levels of omega-3 fatty acids had better cognitive function than others.,2025-08-20T11:00:14Z
omega,fanfic,after,Several trials have found that giving older people omega-3 supplements did not improve their cognitive function or boost mental capacity in those already diagnosed with dementia.,2025-08-20T11:00:14Z
omega,fanfic,after,"In the meantime, she said women should ensure they are getting omega fatty acids in their diets.",2025-08-20T11:00:14Z
omega,fanfic,after,"There are three essential omega-3 fatty acids, known as ALA, DHA and EPA.",2025-08-20T11:00:14Z
omega,fanfic,after,"A daily dose of omega-3 oils may slow the ageing process, according to a major clinical trial of interventions that aim to extend humans’ healthspan – the number of years spent in good health before a decline in old age.",2025-02-03T16:00:05Z
omega,fanfic,after,"Heike Bischoff-Ferrari, the first author on the study and professor of geriatric medicine and healthy longevity at the University of Zurich, said: “While the effects may appear small with three to four months rejuvenation of biological age in three years, if sustained, they may have relevant effects on population health.” Previous studies had hinted that omega-3, an unsaturated fatty acid found in oily fish and other foods such as nuts and seeds, could affect the ageing process.",2025-02-03T16:00:05Z
omega,fanfic,after,"Volunteers on the trial were divided into eight groups and each took a gram of algae-based omega-3 a day, or 2,000 international units of vitamin D, or performed 30 minutes of exercise three times a week, or a combination of these.",2025-02-03T16:00:05Z
omega,fanfic,after,"Three different epigenetic clocks suggested that omega-3 slowed ageing, while one found an additional benefit when it was accompanied by vitamin D and exercise, the authors write in Nature Aging.",2025-02-03T16:00:05Z
omega,fanfic,after,"The same European trial, Do-Health, has reported other beneficial effects of omega-3, including a 10% lower rate of falls in seniors and 13% fewer infections.",2025-02-03T16:00:05Z
omega,fanfic,after,"Meanwhile, the combination of omega-3, vitamin D and exercise lowered the risk of entering pre-frailty – when people show one or two signs of physical or mental decline that typically precede frailty – by 39% and reduced invasive cancers by 61%.",2025-02-03T16:00:05Z
omega,fanfic,after,"While previous work has signalled health benefits from consuming omega-3, one recent study reported that fish oil supplements might only reduce the risk of serious heart problems in those with cardiovascular disease.",2025-02-03T16:00:05Z
